Player,Position,Height,Weight,Stars,Rating,CompositeRank,247Rank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Leonard Fournette,RB,6-1,226,5,0.9996,1,2,1,1,St. Augustine,New Orleans,LA,LSU
Myles Garrett,WDE,6-4,240,5,0.9992,2,1,1,1,Arlington Martin,Arlington,TX,Texas A&M
Jabrill Peppers,ATH,6-0,205,5,0.9992,3,4,1,1,Paramus Catholic,Paramus,NJ,Michigan
Cam Robinson,OT,6-7,335,5,0.9979,4,3,1,2,West Monroe,West Monroe,LA,Alabama
Da'Shawn Hand,SDE,6-4,265,5,0.9979,5,8,1,1,Woodbridge,Woodbridge,VA,Alabama
Quin Blanding,S,6-2,200,5,0.9967,6,9,1,2,Bayside,Virginia Beach,VA,Virginia
Adoree' Jackson,CB,5-9.5,182,5,0.9960,7,25,1,1,Junipero Serra,Gardena,CA,USC
Kyle Allen,PRO,6-3,200,5,0.9956,8,6,1,1,Desert Mountain,Scottsdale,AZ,Texas A&M
Tony Brown,CB,6-0,188,5,0.9952,9,17,2,2,Ozen,Beaumont,TX,Alabama
Speedy Noil,WR,5-10.5,176,5,0.9952,10,7,1,3,Edna Karr,New Orleans,LA,Texas A&M
Marlon Humphrey,CB,6-1,175,5,0.9942,11,11,3,1,Hoover,Hoover,AL,Alabama
Andrew Brown,DT,6-4,282,5,0.9941,12,10,1,3,Oscar Smith,Chesapeake,VA,Virginia
Dalvin Cook,RB,5-11,190,5,0.9940,13,13,2,1,Miami Central,Miami,FL,Florida State
Rashaan Evans,OLB,6-3,220,5,0.9926,14,12,1,2,Auburn,Auburn,AL,Alabama
Teez Tabor,CB,6-1,182,5,0.9924,15,20,4,1,Friendship Academy,Washington,DC,Florida
Bo Scarbrough,ATH,6-2,225,5,0.9918,16,36,2,2,IMG Academy,Bradenton,FL,Alabama
Malachi Dupre,WR,6-2.5,187,5,0.9917,17,31,2,4,John Curtis,New Orleans,LA,LSU
Lorenzo Carter,WDE,6-5,232,5,0.9913,18,21,2,1,Norcross,Norcross,GA,Georgia
Joe Mixon,APB,6-2,195,5,0.9906,19,28,1,2,Freedom,Oakley,CA,Oklahoma
Sony Michel,RB,5-11,205,5,0.9905,20,58,3,3,American Heritage,Fort Lauderdale,FL,Georgia
JuJu Smith-Schuster,ATH,6-1,200,5,0.9904,21,46,3,3,Long Beach Poly,Long Beach,CA,USC
Raekwon McMillan,ILB,6-2,242,5,0.9896,22,29,1,2,Liberty County,Hinesville,GA,Ohio State
Roc Thomas,RB,5-11,196,5,0.9894,23,61,4,3,Oxford,Oxford,AL,Auburn
Ermon Lane,WR,6-3,193,5,0.9892,24,34,3,4,Homestead,Homestead,FL,Florida State
Chad Thomas,WDE,6-5,240,5,0.9887,25,30,3,5,Booker T. Washington,Miami,FL,Miami
Solomon Thomas,SDE,6-2.5,258,5,0.9885,26,42,2,3,Coppell,Coppell,TX,Stanford
Tre' Williams,ILB,6-3,237,5,0.9868,27,23,2,4,St. Paul's Episcopal,Mobile,AL,Auburn
Damian Prince,OT,6-5,295,5,0.9863,28,41,2,1,Bishop McNamara,District Heights,MD,Maryland
Clifton Garrett,OLB,6-2,228,5,0.9862,29,32,2,1,Plainfield South,Plainfield,IL,LSU
KD Cannon,WR,6-0,162,5,0.9858,30,43,4,4,Mount Pleasant,Mount Pleasant,TX,Baylor
Malik McDowell,SDE,6-7,290,5,0.9853,31,39,3,1,Southfield,Detroit,MI,Michigan State
Jamal Adams,S,6-0,199,5,0.9850,32,96,2,5,Hebron,Carrollton,TX,LSU
Nick Chubb,RB,5-11,216,5,0.9846,33,18,5,3,Cedartown,Cedartown,GA,Georgia
Royce Freeman,RB,5-11.5,215,4,0.9831,34,16,6,4,Imperial,Imperial,CA,Oregon
Gerald Willis,DT,6-3,275,4,0.9831,35,27,2,5,Edna Karr,New Orleans,LA,Florida
Damon Webb,CB,5-11,180,4,0.9830,36,44,5,2,Cass Technical,Detroit,MI,Ohio State
Josh Malone,WR,6-2.25,191,4,0.9825,37,50,5,1,Station Camp,Gallatin,TN,Tennessee
Damien Mama,OG,6-4,370,4,0.9819,38,51,1,5,St. John Bosco,Bellflower,CA,USC
Jalen Hurd,ATH,6-3,230,4,0.9805,39,33,4,2,Beech,Hendersonville,TN,Tennessee
Christian Miller,OLB,6-4,222,4,0.9804,40,15,3,1,Spring Valley,Columbia,SC,Alabama
Ed Paris,S,6-1,190,4,0.9794,41,67,3,6,Mansfield Timberview,Arlington,TX,LSU
Deshaun Watson,DUAL,6-3,200,4,0.9794,42,85,1,4,Gainesville,Gainesville,GA,Clemson
Travis Rudolph,WR,6-1,185,4,0.9788,43,24,6,6,Cardinal Newman,West Palm Beach,FL,Florida State
Elijah Hood,RB,5-11.5,222,4,0.9773,44,82,7,1,Charlotte Catholic,Charlotte,NC,North Carolina
Joseph Yearby,RB,5-9,190,4,0.9771,45,139,8,7,Miami Central,Miami,FL,Miami
Kc McDermott,OT,6-6,300,4,0.9770,46,60,3,8,Palm Beach Central,West Palm Beach,FL,Miami
Rod Taylor,OG,6-3.5,305,4,0.9767,47,26,2,1,Callaway,Jackson,MS,Ole Miss
Will Grier,PRO,6-2,190,4,0.9765,48,70,2,2,Davidson Day,Davidson,NC,Florida
Davion Hall,ATH,6-3,186,4,0.9759,49,57,5,7,Texarkana Liberty-Eylau,Texarkana,TX,Baylor
Hootie Jones,S,6-2,220,4,0.9757,50,120,4,6,Neville,Monroe,LA,Alabama
Keller Chryst,PRO,6-4,220,4,0.9753,51,54,3,6,Palo Alto,Palo Alto,CA,Stanford
Dante Booker,OLB,6-3,212,4,0.9743,52,14,4,1,St. Vincent-St. Mary,Akron,OH,Ohio State
Budda Baker,ATH,5-9,174,4,0.9741,53,55,6,1,Bellevue,Bellevue,WA,Washington
Nyles Morgan,ILB,6-1,225,4,0.9739,54,102,3,2,Crete-Monee,Crete,IL,Notre Dame
Marshon Lattimore,CB,6-0,175,4,0.9736,55,45,6,2,Glenville,Cleveland,OH,Ohio State
Curtis Samuel,ATH,6-0,185,4,0.9720,56,47,7,1,Erasmus Hall,Brooklyn,NY,Ohio State
Michiah Quick,ATH,6-0,170,4,0.9715,57,110,8,7,Central East,Fresno,CA,Oklahoma
Jeff Jones,RB,5-11,196,4,0.9712,58,56,9,1,Washburn,Fullerton,CA,Minnesota
Jamarco Jones,OT,6-5,290,4,0.9708,59,80,4,3,De La Salle Institute,Chicago,IL,Ohio State
Nick Harvey,CB,5-9,175,4,0.9708,60,123,7,8,Fort Bend Travis,Richmond,TX,Texas A&M
Quenton Nelson,OT,6-5,295,4,0.9707,61,79,5,2,Red Bank Catholic,Red Bank,NJ,Notre Dame
Travonte Valentine,DT,6-3,338,4,0.9699,62,35,3,9,Champagnat Catholic - Hialeah,Palm Bay,FL,LSU
Braden Smith,OG,6-6,285,4,0.9699,63,131,3,1,Olathe South,Olathe,KS,Auburn
Todd Kelly Jr.,S,5-11.75,192,4,0.9695,64,75,5,3,Webb School of Knoxville,Knoxville,TN,Tennessee
Erick Smith,S,6-1,185,4,0.9695,65,62,6,3,Glenville,Cleveland,OH,Ohio State
Derick Roberson,SDE,6-3.5,235,4,0.9688,66,104,4,9,San Antonio Brennan,San Antonio,TX,Texas
Jerrod Heard,DUAL,6-2.5,190,4,0.9677,67,83,2,10,Denton Guyer,Denton,TX,Texas
Drake Harris,WR,6-4,180,4,0.9677,68,92,7,3,Grand Rapids Christian,Grand Rapids,MI,Michigan
Jacob Pugh,OLB,6-4,221,4,0.9675,69,40,5,10,Amos P. Godby,Tallahassee,FL,Florida State
Artavis Scott,WR,5-10,175,4,0.9674,70,93,8,11,East Lake,Tarpon Springs,FL,Clemson
Malkom Parrish,CB,5-9,186,4,0.9671,71,81,8,5,Brooks County,Quitman,GA,Georgia
Ronnie Clark,OLB,6-2.5,215,4,0.9670,72,125,6,5,Calera,Calera,AL,Alabama
Ross Pierschbacher,OT,6-4,290,4,0.9657,73,129,6,1,Cedar Falls,Cedar Falls,IA,Alabama
Kain Daub,ILB,6-3,234,4,0.9652,74,155,4,12,Sandalwood,Jacksonville,FL,Florida State
Brandon Harris,DUAL,6-2.5,193,4,0.9651,75,101,3,7,Parkway,Bossier City,LA,LSU
Jalyn Holmes,WDE,6-5,225,4,0.9650,76,52,4,4,Lake Taylor,Norfolk,VA,Ohio State
Johnnie Dixon,WR,5-10,187,4,0.9644,77,63,9,13,Dwyer,Palm Beach Gardens,FL,Ohio State
Allen Lazard,WR,6-4.5,207,4,0.9641,78,73,10,2,Urbandale,Urbandale,IA,Iowa State
Joshua Frazier,DT,6-3,325,4,0.9636,79,37,4,1,Har-Ber,Springdale,AR,Alabama
Thomas Holley,DT,6-4,285,4,0.9636,80,19,5,2,Abraham Lincoln,Brooklyn,NY,Florida
Bijhon Jackson,DT,6-1.75,334,4,0.9636,81,117,6,2,El Dorado,El Dorado,AR,Arkansas
David Cornwell,PRO,6-5,241,4,0.9634,82,69,4,1,Norman North,Norman,OK,Alabama
Trey Quinn,WR,6-1,200,4,0.9631,83,94,11,8,Barbe,Lake Charles,LA,LSU
Viane Talamaivao,OG,6-3,310,4,0.9624,84,127,4,8,Corona Centennial,Corona,CA,USC
Casey Tucker,OT,6-6,270,4,0.9624,85,,7,2,Hamilton,Chandler,AZ,Stanford
Dylan Sumner-Gardner,S,6-1,193,4,0.9623,86,164,7,11,West Mesquite,Mesquite,TX,Boise State
Cam Sims,WR,6-4,199,4,0.9619,87,86,12,9,Ouachita Parish,Monroe,LA,Alabama
