Player,Position,Height,Weight,Stars,Rating,CompositeRank,247Rank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Adrian Peterson,RB,6-2,210,5,0.9996,1,,1,1,Palestine,Palestine,TX,Oklahoma
Ted Ginn Jr.,CB,6-0,170,5,0.9992,2,,1,1,Glenville,Cleveland,OH,Ohio State
Willie Williams,OLB,6-2,225,5,0.9988,3,,1,1,Miami Carol City,Opa Locka,FL,Miami
Rhett Bomar,PRO,6-4,205,5,0.9982,4,,1,2,Grand Prairie,Grand Prairie,TX,Oklahoma
Early Doucet,WR,6-1,207,5,0.9980,5,,1,1,St. Martinville,St. Martinville,LA,LSU
Brandon Miller,WDE,6-4,225,5,0.9980,5,,1,1,Miller County,Coolidge,GA,Georgia
Keith Rivers,ILB,6-2,215,5,0.9970,7,,1,2,Lake Mary,Lake Mary,FL,USC
Xavier Lee,DUAL,6-4,200,5,0.9964,8,,1,3,Seabreeze,Daytona Beach,FL,Florida State
Jeff Byers,OC,6-4,280,5,0.9962,9,,1,1,Loveland,Loveland,CO,USC
Jeff Schweiger,WDE,6-5,245,5,0.9960,10,,2,1,Valley Christian,San Jose,CA,USC
Derrick Harvey,WDE,6-5,235,5,0.9956,11,,3,1,Eleanor Roosevelt,Greenbelt,MD,Florida
DeMario Pressley,DT,6-4,285,5,0.9946,12,,1,1,Dudley,Greensboro,NC,NC State
Dan Connor,ILB,6-3,215,5,0.9944,13,,2,1,Strath Haven,Wallingford,PA,Penn State
Fred Davis,WR,6-4,210,5,0.9944,13,,2,2,Rogers,Toledo,OH,USC
Anthony Morelli,PRO,6-4,208,5,0.9936,15,,2,2,Penn Hills,Pittsburgh,PA,Penn State
Cameron Colvin,WR,6-2,193,5,0.9932,16,,3,2,De La Salle,Concord,CA,Oregon
Xavier Carter,WR,6-3,190,5,0.9930,17,,4,4,Palm Bay Senior,Melbourne,FL,LSU
Chad Henne,PRO,6-3,210,5,0.9924,18,,3,3,Wilson,Reading,PA,Michigan
Brian Toal,ILB,6-2,228,5,0.9920,19,,3,1,Don Bosco Prep,Ramsey,NJ,Boston College
Frank Okam,DT,6-5,300,5,0.9918,20,,2,3,Lake Highlands,Dallas,TX,Texas
Charles Johnson,WDE,6-3,240,5,0.9910,21,,4,2,Hawkinsville,Hawkinsville,GA,Georgia
Kyle Williams,OLB,6-2,217,5,0.9908,22,,2,1,Bolingbrook,Bolingbrook,IL,Iowa
Calvin Johnson,WR,6-4,210,5,0.9902,23,,5,3,Sandy Creek,Tyrone,GA,Georgia Tech
Lance Leggett,WR,6-4,180,5,0.9896,24,,6,4,Grace Preparatory Academy,Arlington,TX,Miami
Marshawn Lynch,RB,5-11,195,5,0.9892,25,,2,3,Oakland Tech,Oakland,CA,California
Zach Miller,TE,6-4,240,5,0.9892,26,,1,1,Desert Vista,Phoenix,AZ,Arizona State
Matt Tuiasosopo,DUAL,6-2,200,5,0.9890,27,,2,1,Woodinville,Woodinville,WA,Washington
Chris Patterson,OLB,6-3,220,5,0.9884,28,,3,2,Hubbard,Chicago,IL,Oklahoma
Tony Carter,CB,5-9,175,5,0.9876,29,,2,5,Mandarin,Jacksonville,FL,Florida State
Glenn Dorsey,DT,6-2,293,5,0.9867,30,,3,2,East Ascension,Gonzales,LA,LSU
Andrew Kelson,S,6-2,210,5,0.9867,30,,1,5,Houston Lamar,Houston,TX,Texas
Brandon Siler,OLB,6-3,220,5,0.9867,30,,4,6,Evans,Orlando,FL,Florida
Thomas Herring,OT,6-6,290,5,0.9859,33,,1,4,Fremont,Los Angeles,CA,USC
Demonte Bolden,DT,6-5,295,5,0.9845,34,,4,1,Tyner Academy,Chattanooga,TN,Tennessee
Bobby Reid,DUAL,6-3,225,5,0.9845,34,,3,6,North Shore,Houston,TX,Oklahoma State
Roland Martin,OT,6-5,325,5,0.9841,36,,2,3,Harper,Chicago,IL,Michigan State
Charlie Jones,RB,5-11,200,5,0.9841,36,,3,7,South Dade,Homestead,FL,Miami
Bobby Washington,RB,6-0,200,5,0.9837,38,,4,8,Miami Killian,Miami,FL,Miami
Dwayne Jarrett,WR,6-5,205,5,0.9837,38,,7,2,New Brunswick,New Brunswick,NJ,USC
Marcus Walker,CB,5-11,180,5,0.9835,40,,3,7,Waco,Waco,TX,Oklahoma
Thomas Brown,RB,5-10,185,4,0.9829,41,,5,4,Tucker,Tucker,GA,Georgia
A.J. Bryant,ATH,6-2,185,4,0.9823,42,,1,5,Peach County,Fort Valley,GA,Georgia
Brandon Barrett,WR,6-1,190,4,0.9823,42,,8,1,Martinsburg,Martinsburg,WV,West Virginia
James Bryant,ILB,6-3,240,4,0.9811,44,,4,4,Reading,Reading,PA,Miami
Eric McLendon,DT,6-6,288,4,0.9805,45,,5,6,Vidalia,Vidalia,GA,
Tim Jamison,WDE,6-3,240,4,0.9799,46,,5,4,Thornton Township,Harvey,IL,Michigan
Brandon Braxton,OT,6-6,300,4,0.9791,47,,3,3,Ursuline,Youngstown,OH,Oklahoma
Jamaal Edwards,RB,6-0,200,4,0.9787,48,,6,2,Dudley,Greensboro,NC,Florida State
Brian Brohm,PRO,6-3,200,4,0.9783,49,,4,1,Trinity,Louisville,KY,Louisville
Cedric Dockery,OG,6-4,315,4,0.9783,50,,1,8,Garland Lakeview Centennial,Garland,TX,Texas
Kyle Mitchum,OT,6-6,265,4,0.9781,51,,4,5,McDowell,Erie,PA,Ohio State
J.R. Bryant,CB,6-1,170,4,0.9781,51,,4,9,Miami Killian,Miami,FL,Florida State
Cortney Grixby,CB,5-9,165,4,0.9773,53,,5,1,Omaha Central,Omaha,NE,Nebraska
Nikita Stover,WR,6-1,195,4,0.9765,54,,9,1,Hartselle,Hartselle,AL,Alabama
Leon Hart,OG,6-4,290,4,0.9765,54,,2,1,Spring Valley,Columbia,SC,Auburn
Dwayne Jones,FB,6-1,233,4,0.9763,56,,1,3,Lakewood,Lakewood,NJ,Rutgers
Kyle Jackson,S,6-0,190,4,0.9755,57,,2,10,Duncan U. Fletcher,Neptune Beach,FL,Florida
William Morrisey,DT,6-1,285,4,0.9751,58,,6,9,Silsbee,Silsbee,TX,Texas A&M
Herman Johnson,OT,6-7,350,4,0.9751,58,,5,9,Denton,Denton,TX,LSU
