Player,Position,Height,Weight,Stars,Rating,CompositeRank,247Rank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Kevin Jones,RB,6-0,205,5,0.9992,1,,1,1,Cardinal O'Hara,Springfield,PA,Virginia Tech
Brodie Croyle,PRO,6-2,185,5,0.9986,2,,1,1,Westbrook Christian School,Rainbow City,AL,Alabama
Roscoe Crosby,WR,6-3,200,5,0.9978,3,,1,1,Union,Union,SC,Clemson
Reggie Williams,WR,6-4,215,5,0.9976,4,,2,1,Lakes,Lakewood,WA,Washington
Shaun Cody,DT,6-4,255,5,0.9974,5,,1,1,Los Altos,Hacienda Heights,CA,USC
Tommie Harris,DT,6-3,275,5,0.9966,6,,2,1,Killeen,Killeen,TX,Oklahoma
Marcus Spears,DT,6-4,280,5,0.9964,7,,3,1,University Lab,Baton Rouge,LA,LSU
Marquise Hill,DT,6-7,290,5,0.9958,8,,4,2,De La Salle,New Orleans,LA,LSU
Jabari Davis,RB,6-0,230,5,0.9958,8,,2,1,Tucker,Tucker,GA,Tennessee
Michael Craven,OLB,6-1,215,5,0.9954,10,,1,2,La Quinta,La Quinta,CA,Stanford
Leon Williams,ILB,6-4,220,5,0.9952,11,,1,1,Canarsie,Brooklyn,NY,Miami
Kelly Baraka,RB,6-0,180,5,0.9944,12,,3,1,Portage Northern,Portage,MI,Michigan
Ben Wilkerson,OC,6-4,265,5,0.9944,12,,1,2,Hemphill,Hemphill,TX,LSU
Ahmad Carroll,CB,5-10,190,5,0.9942,14,,1,2,Douglass,Atlanta,GA,Arkansas
Carnell Williams,RB,5-11,185,5,0.9936,15,,4,2,Etowah,Attalla,AL,Auburn
Dominic Robinson,WR,6-1,205,5,0.9936,16,,3,3,Diamond Bar,Diamond Bar,CA,Florida State
Joe Mauer,PRO,6-4,205,5,0.9928,17,,2,1,Cretin Derham Hall,Saint Paul,MN,Florida State
D.J. Shockley,DUAL,6-2,185,5,0.9926,18,,1,3,North Clayton,Atlanta,GA,Georgia
Michael Clayton,WR,6-2,200,5,0.9924,19,,4,3,Christian Life Academy,Baton Rouge,LA,LSU
Chris Spencer,OC,6-3,305,5,0.9922,20,,2,1,Madison Central,Madison,MS,Ole Miss
Ernest Shazor,S,6-4,210,5,0.9922,20,,1,2,Martin Luther King,Detroit,MI,Michigan
Eric Shelton,RB,6-1,230,5,0.9922,20,,5,1,Bryan Station,Lexington,KY,Florida State
Cecil Howard,DUAL,6-1,195,5,0.9920,23,,2,2,McKeesport,McKeesport,PA,Syracuse
Kevin Simon,OLB,5-11,215,5,0.9910,24,,2,4,De La Salle,Concord,CA,Tennessee
Matt Ware,CB,6-3,195,5,0.9906,25,,2,5,Loyola,Los Angeles,CA,UCLA
Anttaj Hawthorne,DT,6-3,310,5,0.9896,26,,5,1,Hamden,Hamden,CT,Wisconsin
Mark LeVoir,OT,6-7,310,5,0.9884,27,,1,2,Eden Prairie,Eden Prairie,MN,Notre Dame
Cedric Houston,RB,6-0,200,5,0.9878,28,,6,1,Clarendon,Clarendon,AR,Tennessee
Patrick Estes,TE,6-7,240,5,0.9871,29,,1,1,Benedictine,Richmond,VA,Virginia
Jami Hightower,OT,6-4,302,5,0.9863,30,,2,3,Jacksonville,Jacksonville,TX,Texas A&M
Cedric Benson,RB,5-11,200,5,0.9861,31,,7,4,Lee,Midland,TX,Texas
Lorenzo Alexander,SDE,6-1,280,5,0.9861,31,,1,6,St. Mary's,Albany,CA,California
Marlin Jackson,CB,6-0,180,5,0.9857,33,,3,3,Sharon,Sharon,PA,Michigan
Blake Larsen,OT,6-7,299,5,0.9857,33,,3,1,Atlantic,Atlantic,IA,Iowa
Ron Lunford,OT,6-5,320,5,0.9855,35,,4,1,Ed White,Jacksonville,FL,Florida State
Matt Roth,OLB,6-4,235,5,0.9855,35,,3,1,Willowbrook,Villa Park,IL,Iowa
Jerome Carter,CB,5-11,208,5,0.9851,37,,4,2,Columbia,Lake City,FL,Florida State
Andrew Whitworth,OG,6-7,300,5,0.9847,38,,1,4,West Monroe,West Monroe,LA,LSU
Lemarcus Rowell,OLB,6-4,220,5,0.9845,39,,4,3,Opelika,Fulton,MS,Auburn
Airese Currie,WR,5-11,175,5,0.9839,40,,5,2,Richland Northeast,Columbia,SC,Clemson
Derrick Tinsley,RB,6-1,180,5,0.9839,41,,8,4,Marietta,Marietta,GA,Tennessee
J.R. Lemon,RB,6-1,213,5,0.9833,42,,9,5,Sandy Creek,Tyrone,GA,Stanford
