Player,Position,Height,Weight,Stars,Rating,CompositeRank,247Rank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
D.J. Williams,ILB,6-2,235,5,0.9998,1,,1,1,De La Salle,Concord,CA,Miami
Brock Berlin,PRO,6-2,190,5,0.9998,2,,1,1,Evangel Christian Academy,Shreveport,LA,Florida
Charles Rogers,WR,6-4,195,5,0.9988,3,,1,1,Saginaw,Saginaw,MI,Michigan State
Travis Johnson,SDE,6-4,265,5,0.9982,4,,1,2,Notre Dame,Sherman Oaks,CA,Florida State
Marcus Houston,RB,6-0,208,5,0.9980,5,,1,1,Thomas Jefferson,Denver,CO,Colorado
Kwame Harris,OT,6-7,320,5,0.9978,6,,1,1,Newark,Newark,DE,Stanford
B.J. Johnson,WR,6-1,190,5,0.9976,7,,2,1,South Grand Prairie,Grand Prairie,TX,Texas
Bryant McFadden,CB,6-1,182,5,0.9968,8,,1,1,McArthur,Hollywood,FL,Florida State
Sam Maldonado,RB,6-2,215,5,0.9964,9,,2,1,Harrison,Harrison,NY,Ohio State
Mike Munoz,OT,6-7,290,5,0.9960,10,,2,1,Archbishop Moeller,Cincinnati,OH,Tennessee
Willis McGahee,RB,6-1,215,5,0.9948,11,,3,2,Miami Central,Miami,FL,Miami
Antonio Hall,OT,6-5,295,5,0.9946,12,,3,2,McKinley,Canton,OH,Kentucky
Darrell Lee,WDE,6-5,230,5,0.9940,13,,1,1,Kirkwood,St. Louis,MO,Florida
O.J. Owens,S,6-1,195,5,0.9932,14,,1,1,North Stanly,New London,NC,Tennessee
Jeff Smoker,PRO,6-3,190,5,0.9922,15,,2,1,Manheim Central,Manheim,PA,Michigan State
Marco Cooper,OLB,6-2,235,5,0.9918,16,,1,2,Cass Technical,Detroit,MI,Ohio State
Chance Mock,PRO,6-2,190,5,0.9918,16,,3,2,The Woodlands,The Woodlands,TX,Texas
Roy Williams,WR,6-4,202,5,0.9916,18,,3,3,Odessa Permian,Odessa,TX,Texas
Matt Grootegoed,OLB,5-11,205,5,0.9914,19,,2,3,Mater Dei,Santa Ana,CA,USC
Yohance Buchanan,S,6-1,210,5,0.9912,20,,2,1,Douglass,Atlanta,GA,Florida State
Mac Tyler,DT,6-6,320,5,0.9912,20,,1,1,Jess Lanier,Hueytown,AL,Alabama
Jason Respert,OC,6-3,300,5,0.9902,22,,1,2,Northside,Warner Robins,GA,Tennessee
Casey Clausen,PRO,6-4,215,5,0.9896,23,,4,4,Bishop Alemany,Mission Hills,CA,Tennessee
Albert Hollis,RB,6-0,190,5,0.9890,24,,4,5,Christian Brothers,Sacramento,CA,Georgia
Albert Means,SDE,6-6,310,5,0.9890,25,,2,1,Trezevant,Memphis,TN,Alabama
Eric Moore,OLB,6-4,226,5,0.9884,26,,3,3,Pahokee,Pahokee,FL,Florida State
Willie Dixon,WR,5-11,182,5,0.9884,27,,4,6,Stockton Christian School,Stockton,CA,Miami
Cory Bailey,S,5-10,175,5,0.9880,28,,3,4,American,Hialeah,FL,Florida
Sean Young,OG,6-6,293,5,0.9878,29,,1,3,Northwest Whitfield County,Tunnel Hill,GA,Tennessee
Johnnie Morant,WR,6-5,225,5,0.9871,30,,5,1,Parsippany Hills,Morris Plains,NJ,Syracuse
Wes Sims,OG,6-5,310,5,0.9869,31,,2,1,Weatherford,Weatherford,OK,Oklahoma
Jason Campbell,PRO,6-5,190,5,0.9853,32,,5,1,Taylorsville,Taylorsville,MS,Auburn
Antwan Odom,SDE,6-7,260,5,0.9851,33,,3,2,Alma Bryant,Irvington,AL,Alabama
Sloan Thomas,WR,6-2,188,5,0.9847,34,,6,4,Klein,Spring,TX,Texas
Raymond Mann,ILB,6-1,233,5,0.9847,34,,2,1,Hampton,Hampton,VA,Virginia
Alphonso Townsend,DT,6-6,280,5,0.9847,34,,2,3,Lima Central Catholic,Lima,OH,Ohio State
Greg Jones,RB,6-2,245,5,0.9837,37,,5,1,Battery Creek,Beaufort,SC,Florida State
Paul Mociler,OG,6-5,300,5,0.9833,38,,3,7,St. John Bosco,Bellflower,CA,UCLA
Chris Septak,TE,6-3,245,5,0.9833,38,,1,1,Millard West,Omaha,NE,Nebraska
Eric Knott,TE,6-4,235,4,0.9831,40,,2,3,Henry Ford II,Sterling Heights,MI,Michigan State
Harold James,S,6-1,220,4,0.9827,41,,4,1,Osceola,Osceola,AR,Alabama
Chris Rix,PRO,6-4,200,4,0.9827,42,,6,8,Santa Margarita Catholic,Rancho Santa Margarita,CA,Florida State
Teyo Johnson,ATH,6-7,256,4,0.9827,42,,1,8,Mira Mesa,San Diego,CA,Stanford
Chris McKelvy,OT,6-5,300,4,0.9821,44,,4,2,North Penn,Lansdale,PA,Penn State
Joe McGuire,OT,6-5,225,4,0.9819,45,,5,10,Servite,Anaheim,CA,USC
Anthony Bryant,SDE,6-4,310,4,0.9815,46,,4,3,Sunshine Sch,Newbern,AL,Alabama
Brock Edwards,TE,6-5,250,4,0.9815,46,,3,5,Fort Worth Christian,North Richland Hills,TX,Texas
Carlos Perez,WR,6-1,195,4,0.9811,48,,7,2,Hoboken,Hoboken,NJ,Florida
Adam Doiron,SDE,6-4,260,4,0.9807,49,,5,2,Duncan,Duncan,OK,Texas
Tre Orr,S,6-2,190,4,0.9805,50,,5,5,Columbia,Lake City,FL,Florida
Larry Stevens,OLB,6-4,215,4,0.9791,51,,4,1,Wilson,Tacoma,WA,Michigan
Hobie Holiday,OLB,6-5,228,4,0.9791,52,,5,4,Houston County,Warner Robins,GA,Georgia Tech
Shannon Snell,OG,6-6,305,4,0.9791,52,,4,6,Hillsborough,Tampa,FL,Florida
Sam Ruhe,SDE,6-5,245,4,0.9787,54,,6,4,Walsh Jesuit,Stow,OH,Penn State
Amon Gordon,OLB,6-3,270,4,0.9781,55,,6,11,Mira Mesa,San Diego,CA,Stanford
Steve Lee,DT,6-4,308,4,0.9777,56,,3,2,Evangel Christian Academy,Shreveport,LA,Texas
Reggie Vickers,WR,6-0,175,4,0.9775,57,,8,7,Glades Central,Belle Glade,FL,Florida
Lawrence Richardson,CB,5-10,170,4,0.9773,58,,2,6,Galveston Ball,Galveston,TX,Arkansas
Greg Pauly,DT,6-6,275,4,0.9771,59,,4,1,Waukesha South,Waukesha,WI,Notre Dame
Tim Johnson,ILB,6-4,230,4,0.9769,60,,3,3,Delbarton School,Morristown,NJ,Penn State
Terrell Suggs,ATH,6-4,240,4,0.9765,61,,2,1,Hamilton,Chandler,AZ,Arizona State
Chris Boggas,OT,6-5,310,4,0.9763,62,,6,7,Irving,Irving,TX,Kansas State
Chad Mascoe,ILB,6-3,225,4,0.9761,63,,4,8,Osceola,Summit,MS,Florida State
Carlos Joseph,OT,6-6,303,4,0.9759,64,,7,9,Miami Edison,Miami,FL,Miami
Adrian Mayes,S,6-2,200,4,0.9759,64,,6,8,Forest Brook,Houston,TX,LSU
Tab Perry,WR,6-3,218,4,0.9759,64,,9,12,Milpitas,Milpitas,CA,UCLA
Alex Holmes,TE,6-2,295,4,0.9751,67,,4,13,Harvard Westlake,Studio City,CA,USC
Dan Dicks,OG,6-5,280,4,0.9747,68,,5,2,Bellevue,Bellevue,WA,Washington
Jason Richenberger,ILB,6-1,200,4,0.9747,68,,5,2,Liberty,Liberty,MO,Nebraska
Carl Walker,S,6-3,190,4,0.9747,70,,7,10,Andrew Jackson,Jacksonville,FL,Miami
Jermelle Lewis,RB,6-1,215,4,0.9745,71,,6,1,Bloomfield,Bloomfield,CT,Iowa
Vontez Duff,RB,6-1,175,4,0.9743,72,,7,9,Copperas Cove,Copperas Cove,TX,Notre Dame
Adam Black,CB,6-0,175,4,0.9741,73,,3,10,Cy Falls,Houston,TX,Texas A&M
Craig Ochs,PRO,6-2,205,4,0.9739,74,,7,2,Fairview,Boulder,CO,Colorado
Carlyle Holiday,WR,6-3,185,4,0.9739,74,,10,11,San Antonio Roosevelt,San Antonio,TX,Notre Dame
Michael Boulware,OLB,6-3,200,4,0.9737,76,,7,2,Spring Valley,Columbia,SC,Florida State
Justin Hinds,SDE,6-4,265,4,0.9733,77,,7,4,Piscataway,Piscataway,NJ,Boston College
Tyrell Dortch,RB,6-0,195,4,0.9725,78,,8,5,Hoboken,Hoboken,NJ,Michigan State
Karlton Neal,WDE,6-5,235,4,0.9723,79,,2,1,Morgan Park,Chicago,IL,Tennessee
Sean Poole,OT,6-7,285,4,0.9719,80,,8,4,Central Commencement Academy,Flint,MI,Michigan State
Rashad Baker,S,6-0,185,4,0.9717,81,,8,6,Camden Eastside,Camden,NJ,Tennessee
Will Smith,WDE,6-4,230,4,0.9715,82,,3,2,Thomas R Proctor,Utica,NY,Ohio State
Keith Kelly,RB,6-0,205,4,0.9715,82,,9,3,Colleton County,Walterboro,SC,Clemson
Tony Johnson,RB,6-1,205,4,0.9709,84,,10,3,State College Area,State College,PA,Penn State
Zac Wasserman,PRO,6-4,203,4,0.9707,85,,8,14,Westlake,Thousand Oaks,CA,Penn State
Darius Jones,ILB,6-4,250,4,0.9703,86,,6,2,Beloit Memorial,Beloit,WI,Wisconsin
Brooks Daniels,OLB,6-3,200,4,0.9699,87,,8,11,Hamilton County,Jasper,FL,Alabama
Erik Noll,OT,6-5,292,4,0.9683,88,,9,1,Watkins Mill,Gaithersburg,MD,Penn State
Quinn Sypniewski,TE,6-7,255,4,0.9683,88,,5,1,Johnston,Johnston,IA,Colorado
Kelvin Kight,WR,6-0,185,4,0.9679,90,,11,5,Lithonia,Lithonia,GA,Florida
Bo Mosley,CB,5-10,160,4,0.9679,90,,4,2,Osceola,Osceola,AR,Arkansas
Andrew Walter,PRO,6-5,205,4,0.9671,92,,9,3,Grand Junction,Grand Junction,CO,Arizona State
Brandon Sumner,PRO,6-5,220,4,0.9667,93,,10,12,Mainland,Daytona Beach,FL,Georgia Tech
Vince Wilfork,DT,6-1,310,4,0.9667,93,,5,12,Santaluces Community,Lake Worth,FL,Miami
Mike Goolsby,ILB,6-4,225,4,0.9663,95,,7,2,Joliet Catholic Academy,Joliet,IL,Notre Dame
