Player,Position,Height,Weight,Stars,Rating,CompositeRank,247Rank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Jeremiah Smith,WR,6-3,214,5,0.9997,1,1,1,1,Chaminade-Madonna,Opa Locka,FL,Ohio State
Ellis Robinson IV,CB,6-1,185,5,0.9994,2,2,1,2,IMG Academy,Bradenton,FL,Georgia
Cam Coleman,WR,6-3,180,5,0.9985,3,5,2,1,Central Phenix City,Phenix City,AL,Auburn
Ryan Coleman-Williams,WR,6-0.5,165,5,0.9982,4,8,3,2,Saraland,Saraland,AL,Alabama
Justin Williams,LB,6-2,205,5,0.9969,5,10,1,1,Oak Ridge,Conroe,TX,Georgia
Julian Sayin,QB,6-1,195,5,0.9966,6,20,1,1,Carlsbad,Carlsbad,CA,Alabama
DJ Lagway,QB,6-2,225,5,0.9964,7,3,2,2,Willis,Willis,TX,Florida
Williams Nwaneri,DL,6-6.5,260,5,0.9960,8,6,1,1,Lee's Summit North,Lee's Summit,MO,Missouri
David Stone,DL,6-4,275,5,0.9952,9,17,2,3,IMG Academy,Oklahoma City,OK,Oklahoma
Justin Scott,DL,6-4,310,5,0.9945,10,11,3,1,St. Ignatius,Chicago,IL,Miami
Terry Bussey,ATH,5-10.5,180,5,0.9945,11,16,1,3,Timpson,Timpson,TX,Texas A&M
Jaylen Mbakwe,CB,5-11,170,5,0.9943,12,12,2,3,Clay-Chalkville,Pinson,AL,Alabama
KJ Bolden,S,6-0.5,187,5,0.9940,13,15,1,1,Buford,Buford,GA,Georgia
Dominick McKinley,DL,6-5.5,280,5,0.9939,14,18,4,1,Acadiana,Lafayette,LA,LSU
Dylan Stewart,EDGE,6-5,250,5,0.9939,15,19,1,1,Friendship Collegiate Academy,Washington,DC,South Carolina
Micah Hudson,WR,6-0,190,5,0.9934,16,25,4,4,Lake Belton,Temple,TX,Texas Tech
Jordan Seaton,OT,6-5,287,5,0.9934,17,13,1,4,IMG Academy,Bradenton,FL,Colorado
Colin Simmons,EDGE,6-2,230,5,0.9932,18,28,2,5,Duncanville,Duncanville,TX,Texas
Sammy Brown,LB,6-2,230,5,0.9929,19,14,2,2,Jefferson,Jefferson,GA,Clemson
LJ McCray,DL,6-4.5,279,5,0.9928,20,4,5,5,Mainland,Daytona Beach,FL,Florida
Dylan Raiola,QB,6-3,230,5,0.9926,21,7,3,3,Buford,Buford,GA,Nebraska
Jordan Ross,EDGE,6-4.5,233,5,0.9924,22,9,3,4,Vestavia Hills,Birmingham,AL,Tennessee
T.J. Moore,WR,6-3,195,5,0.9887,23,21,5,6,Tampa Catholic,Tampa,FL,Clemson
Mike Matthews,WR,6-1,180,5,0.9882,24,40,6,4,Parkview,Lilburn,GA,Tennessee
Joseph Jonah-Ajonye,DL,6-4,275,5,0.9881,25,56,6,6,Oak Ridge,Conroe,TX,Georgia
Eddrick Houston,DL,6-3,269,5,0.9879,26,33,7,5,Buford,Buford,GA,Ohio State
