Player,Position,Height,Weight,Stars,Rating,CompositeRank,247Rank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Quinn Ewers,QB,6-3,206,5,1.0000,1,1,1,1,Southlake Carroll,Southlake,TX,Ohio State
Korey Foreman,DL,6-4,265,5,0.9992,2,3,1,1,Corona Centennial,Corona,CA,USC
JC Latham,OT,6-6,305,5,0.9989,3,5,1,1,IMG Academy,Bradenton,FL,Alabama
J.T. Tuimoloau,DL,6-4.5,277,5,0.9989,4,2,2,1,Eastside Catholic,Sammamish,WA,Ohio State
Jack Sawyer,DL,6-5,248,5,0.9980,5,6,3,1,Pickerington North,Pickerington,OH,Ohio State
Tommy Brockermeyer,OT,6-6.25,283,5,0.9977,6,10,2,2,All Saints Episcopal,Fort Worth,TX,Alabama
Caleb Williams,QB,6-1,210,5,0.9969,7,8,2,1,Gonzaga,Washington,DC,Oklahoma
Amarius Mims,OT,6-7,315,5,0.9956,8,15,3,1,Bleckley County,Cochran,GA,Georgia
Dallas Turner,EDGE,6-4,245,5,0.9950,9,12,1,2,St. Thomas Aquinas,Fort Lauderdale,FL,Alabama
Emeka Egbuka,WR,6-1,190,5,0.9945,10,9,1,2,Steilacoom,Steilacoom,WA,Ohio State
Leonard Taylor III,DL,6-4,265,5,0.9938,11,4,4,3,Miami Palmetto,Miami,FL,Miami
Sam Huard,QB,6-2,190,5,0.9935,12,23,3,3,Kennedy Catholic,Bellevue,WA,Washington
Ja'Tavion Sanders,ATH,6-3.5,235,5,0.9932,13,30,1,3,Denton Ryan,Denton,TX,Texas
Tristan Leigh,OT,6-5,270,5,0.9921,14,16,4,1,Robinson Secondary,Fairfax,VA,Clemson
James Williams,S,6-5,218,5,0.9921,15,14,1,4,American Heritage,Opa Locka,FL,Miami
Nolan Rucci,OT,6-8,295,5,0.9918,16,17,5,1,Warwick,Lititz,PA,Wisconsin
Brock Vandagriff,QB,6-3,205,5,0.9908,17,34,4,2,Prince Avenue Christian School,Bogart,GA,Georgia
Kool-Aid McKinstry,CB,6-0.5,180,5,0.9906,18,13,1,1,Pinson Valley,Pinson,AL,Alabama
Donovan Jackson,IOL,6-4.5,308,5,0.9900,19,7,1,4,Episcopal,Bellaire,TX,Ohio State
Maason Smith,DL,6-5,316,5,0.9897,20,31,5,1,Terrebonne,Houma,LA,LSU
Terrence Lewis,LB,6-1,200,5,0.9894,21,45,1,5,Miami Central,Opa Locka,FL,Maryland
Shemar Turner,DL,6-3.5,282,5,0.9877,22,52,6,5,DeSoto,DeSoto,TX,Texas A&M
TreVeyon Henderson,RB,5-11,195,5,0.9872,23,11,1,2,Hopewell,Hopewell,VA,Ohio State
Damon Payne,DL,6-3.5,297,5,0.9872,24,39,7,1,Belleville,Belleville,MI,Alabama
J.J. McCarthy,QB,6-3,190,5,0.9866,25,38,5,6,IMG Academy,La Grange Park,IL,Michigan
Xavian Sorey Jr.,LB,6-3,214,5,0.9864,26,35,2,7,IMG Academy,Bradenton,FL,Georgia
Ja'Corey Brooks,WR,6-3,185,5,0.9861,27,27,2,8,IMG Academy,Miami,FL,Alabama
Kyle McCord,QB,6-3,215,5,0.9858,28,49,6,2,St. Joseph's Prep,Philadelphia,PA,Ohio State
Jason Marshall Jr.,CB,6-2,180,5,0.9854,29,25,2,9,Miami Palmetto,Miami,FL,Florida
Sage Ryan,S,5-11,193,5,0.9851,30,41,2,2,Lafayette Christian Academy,Lafayette,LA,LSU
Keeshawn Silver,DL,6-6,275,5,0.9841,31,28,8,1,Rocky Mount,Rocky Mount,NC,North Carolina
Will Shipley,RB,5-11,198,5,0.9839,32,56,2,2,Weddington,Matthews,NC,Clemson
Barrett Carter,LB,6-1,220,5,0.9835,33,18,3,3,North Gwinnett,Suwanee,GA,Clemson
Camar Wheaton,RB,5-11,190,5,0.9834,34,63,3,6,Garland Lakeview Centennial,Garland,TX,Alabama
Smael Mondon Jr.,LB,6-3,220,5,0.9834,35,21,4,4,Paulding County,Dallas,GA,Georgia
Kingsley Suamataia,OT,6-5,280,4,0.9823,36,32,6,1,Orem,Orem,UT,Oregon
