Player,Position,Height,Weight,Stars,Rating,CompositeRank,247Rank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Bryan Bresee,DT,6-5,290,5,0.9995,1,3,1,1,Damascus,Damascus,MD,Clemson
Bryce Young,DUAL,5-11,183,5,0.9994,2,1,1,1,Mater Dei,Santa Ana,CA,Alabama
Julian Fleming,WR,6-2,199,5,0.9979,3,4,1,1,Southern Columbia,Catawissa,PA,Ohio State
Kelee Ringo,CB,6-2,205,5,0.9976,4,7,1,1,Saguaro,Scottsdale,AZ,Georgia
Arik Gilbert,TE,6-5,253,5,0.9972,5,10,1,1,Marietta,Marietta,GA,LSU
Justin Flowe,ILB,6-2,225,5,0.9967,6,11,1,2,Upland,Upland,CA,Oregon
Myles Murphy,SDE,6-5,260,5,0.9965,7,14,1,2,Hillgrove,Powder Springs,GA,Clemson
Jordan Burch,DT,6-5,275,5,0.9954,8,17,2,1,Hammond School,Columbia,SC,South Carolina
Paris Johnson Jr.,OT,6-7,290,5,0.9953,9,8,1,1,Princeton,Cincinnati,OH,Ohio State
DJ Uiagalelei,PRO,6-4.5,246,5,0.9949,10,2,1,3,St. John Bosco,Bellflower,CA,Clemson
Broderick Jones,OT,6-5,298,5,0.9947,11,30,2,3,Lithonia,Lithonia,GA,Georgia
Gervon Dexter,DT,6-6.5,286,5,0.9946,12,6,3,1,Lake Wales,Lake Wales,FL,Florida
Noah Sewell,ILB,6-2,266,5,0.9935,13,19,2,1,Orem,Orem,UT,Oregon
Eli Ricks,CB,6-2,192,5,0.9928,14,18,2,2,IMG Academy,Rancho Cucamonga,CA,LSU
Bijan Robinson,RB,6-0,200,5,0.9928,15,21,1,2,Salpointe Catholic,Tucson,AZ,Texas
Zach Evans,RB,5-11,200,5,0.9924,16,33,2,1,North Shore,Houston,TX,TCU
Will Anderson,WDE,6-3,230,5,0.9913,17,5,1,4,Dutchtown,Hampton,GA,Alabama
Jalen Carter,DT,6-3,301,5,0.9911,18,9,4,3,Apopka,Apopka,FL,Georgia
Chris Braswell,WDE,6-3,220,5,0.9909,19,39,2,2,St. Frances Academy,Baltimore,MD,Alabama
Demarkcus Bowman,RB,5-9,191,5,0.9909,20,25,3,4,Lakeland,Lakeland,FL,Clemson
Jaylon Jones,S,6-1.5,190,5,0.9906,21,16,1,2,Cibolo Steele,Cibolo,TX,Texas A&M
Drew Sanders,ATH,6-5,232,5,0.9895,22,13,1,3,Denton Ryan,Denton,TX,Alabama
Darnell Washington,ATH,6-7.5,261,5,0.9893,23,34,2,1,Desert Pines,Las Vegas,NV,Georgia
Kayshon Boutte,WR,6-0,180,5,0.9892,24,20,2,1,Westgate,New Iberia,LA,LSU
Demond Demas,WR,6-3,182,5,0.9890,25,31,3,4,Tomball,Tomball,TX,Texas A&M
Trenton Simpson,OLB,6-3,224,5,0.9870,26,12,1,1,Mallard Creek,Charlotte,NC,Clemson
Rakim Jarrett,WR,6-0,208,5,0.9868,27,64,4,1,St. John's College,Washington,DC,Maryland
Tony Grimes,CB,6-0,180,5,0.9859,28,48,3,1,Princess Anne,Virginia Beach,VA,North Carolina
Jaxon Smith-Njigba,WR,6-1,188,5,0.9855,29,15,5,5,Rockwall,Rockwall,TX,Ohio State
Sav'ell Smalls,WDE,6-4,244,5,0.9842,30,59,3,1,Kennedy Catholic,Burien,WA,Washington
Dontae Manning,CB,6-0,185,5,0.9840,31,40,4,1,Raytown,Kansas City,MO,Oregon
Michael Mayer,TE,6-4,232,5,0.9833,32,23,2,1,Covington Catholic,Alexandria,KY,Notre Dame
MJ Sherman,OLB,6-3,234,4,0.9830,33,75,2,2,St. John's College,Washington,DC,Georgia
DeMonte Capehart,DT,6-4.5,295,4,0.9829,34,54,5,5,IMG Academy,Hartsville,SC,Clemson
Demorie Tate,CB,6-1,189,4,0.9828,35,22,5,6,Freedom,Orlando,FL,Florida State
