Player,Position,Height,Weight,Stars,Rating,CompositeRank,247Rank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Bryce Underwood,QB,6-3.5,205,5,0.9998,1,1,1,1,Belleville,Belleville,MI,Michigan
Keelon Russell,QB,6-3,175,5,0.9997,2,2,2,1,Duncanville,Duncanville,TX,Alabama
Elijah Griffin,DL,6-5,300,5,0.9992,3,3,1,1,Savannah Christian Prep,Savannah,GA,Georgia
Dakorien Moore,WR,5-11,182,5,0.9981,4,9,1,2,Duncanville,Duncanville,TX,Oregon
Michael Fasusi,OT,6-5,295,5,0.9977,5,8,1,3,Lewisville,Lewisville,TX,Oklahoma
David Sanders Jr.,OT,6-6,290,5,0.9973,6,11,2,1,Providence Day School,Charlotte,NC,Tennessee
Tavien St. Clair,QB,6-4,225,5,0.9968,7,4,3,1,Bellefontaine,Bellefontaine,OH,Ohio State
Devin Sanchez,CB,6-2,180,5,0.9965,8,5,1,4,North Shore,Houston,TX,Ohio State
Isaiah Gibson,EDGE,6-3.5,270,5,0.9962,9,14,1,2,Warner Robins,Warner Robins,GA,Georgia
Jonah Williams,S,6-3,203,5,0.9962,10,6,1,5,Galveston Ball,Galveston,TX,Texas
DJ Pickett,CB,6-4,178,5,0.9943,11,24,2,1,Zephyrhills,Tampa,FL,LSU
Justus Terry,DL,6-5,290,5,0.9939,12,13,2,3,Manchester,Manchester,GA,Texas
Na'eem Offord,CB,6-1,185,5,0.9936,13,17,3,1,Parker,Birmingham,AL,Oregon
Dijon Lee Jr.,CB,6-4,190,5,0.9926,14,15,4,1,Mission Viejo,Mission Viejo,CA,Alabama
Harlem Berry,RB,5-11,175,5,0.9919,15,33,1,1,St. Martin's Episcopal School,Metairie,LA,LSU
Andrew Babalola,OT,6-6,290,5,0.9914,16,10,3,1,Blue Valley Northwest,Overland Park,KS,Michigan
Michael Carroll,IOL,6-6,315,5,0.9909,17,12,1,2,IMG Academy,Bradenton,FL,Alabama
Kaliq Lockett,WR,6-2,175,5,0.9908,18,21,2,6,Sachse,Sachse,TX,Texas
Jerome Myles,WR,6-3,215,5,0.9884,19,28,3,1,Corner Canyon,Draper,UT,Texas A&M
Talyn Taylor,WR,6-1,173,5,0.9877,20,40,4,1,Geneva,Geneva,IL,Georgia
Lance Jackson,EDGE,6-5,260,5,0.9875,21,39,2,7,Texarkana Pleasant Grove,Texarkana,TX,Texas
Amare Adams,DL,6-4,315,5,0.9874,22,7,3,1,South Florence,Jefferson,SC,Clemson
Quincy Porter,WR,6-3,200,5,0.9873,23,31,5,1,Bergen Catholic,Oradell,NJ,Ohio State
Zayden Walker,LB,6-1.5,225,5,0.9871,24,22,1,4,Schley County,Ellaville,GA,Georgia
Husan Longstreet,QB,6-1.5,195,5,0.9868,25,32,4,2,Corona Centennial,Corona,CA,USC
Will Black,OT,6-7,295,5,0.9867,26,37,4,1,Choate Rosemary Hall,Wallingford,CT,Notre Dame
Kade Phillips,CB,6-0.5,185,5,0.9864,27,23,5,8,Fort Bend Hightower,Missouri City,TX,Texas
Deuce Knight,QB,6-4.5,206,5,0.9862,28,56,5,1,George County,Lucedale,MS,Auburn
Elyiss Williams,TE,6-7,235,5,0.9854,29,49,1,5,Camden County,Kingsland,GA,Georgia
Vernell Brown III,WR,5-11,170,5,0.9852,30,35,6,3,Jones,Orlando,FL,Florida
Trey McNutt,S,6-0,180,5,0.9843,31,73,2,2,Shaker Heights,Cleveland,OH,Oregon
Caleb Cunningham,WR,6-1,190,5,0.9840,32,48,7,2,Choctaw County,Ackerman,MS,Ole Miss
Isaiah Campbell,DL,6-4,280,4,0.9832,33,34,4,2,Southern,Durham,NC,Tennessee
Jahkeem Stewart,DL,6-6,270,4,0.9829,34,95,5,2,Edna Karr,New Orleans,LA,USC
Dallas Wilson,WR,6-3,195,4,0.9827,35,50,8,4,Tampa Bay Tech,Tampa,FL,Florida
Iose Epenesa,DL,6-4,270,4,0.9822,36,27,6,2,Edwardsville,Edwardsville,IL,Iowa
Linkon Cure,TE,6-5,223,4,0.9816,37,30,2,2,Goodland,Goodland,KS,Kansas State
Lamont Rogers,OT,6-6,325,4,0.9815,38,26,5,9,Mesquite Horn,Mesquite,TX,Texas A&M
Ty Haywood,OT,6-5,285,4,0.9807,39,42,6,10,Denton Ryan,Denton,TX,Michigan
Brandon Finney Jr.,CB,6-2,185,4,0.9799,40,47,6,1,McDonogh School,Owings Mills,MD,Oregon
Solomon Thomas,IOL,6-4,315,4,0.9798,41,51,2,5,Raines,Jacksonville,FL,LSU
Riley Pettijohn,LB,6-1.5,215,4,0.9793,42,101,2,11,McKinney,McKinney,TX,Ohio State
Nate Marshall,EDGE,6-4,265,4,0.9791,43,89,3,3,Fenwick,Oak Park,IL,Michigan
Jaime Ffrench Jr.,WR,6-1,185,4,0.9790,44,52,9,6,Mandarin,Jacksonville,FL,Texas
Jackson Lloyd,OT,6-7,290,4,0.9784,45,59,7,3,Carmel,Carmel,CA,Alabama
Javion Hilson,EDGE,6-3.5,235,4,0.9784,46,79,4,7,Cocoa,Cocoa,FL,Missouri
Jared Smith,EDGE,6-6.5,235,4,0.9779,47,71,5,2,Thompson,Alabaster,AL,Auburn
Malik Autry,DL,6-5.5,330,4,0.9775,48,25,7,3,Opelika,Opelika,AL,Auburn
Tae Harris,S,5-10,200,4,0.9770,49,57,3,6,Cedartown,Cedartown,GA,Georgia Tech
Julian Lewis,QB,6-0.5,185,4,0.9762,50,126,6,7,Carrollton,Carrollton,GA,Colorado
Chuck McDonald III,CB,6-0.5,190,4,0.9745,51,45,7,4,Mater Dei,Santa Ana,CA,Alabama
Juan Gaston,OT,6-7,365,4,0.9740,52,18,8,8,Westlake,Atlanta,GA,Georgia
AK Dear,RB,6-1,200,4,0.9729,53,91,2,3,Quitman,Quitman,MS,Alabama
Drake Stubbs,S,6-1,190,4,0.9723,54,93,4,8,Mandarin,Jacksonville,FL,Florida
Faheem Delane,S,6-2.5,195,4,0.9716,55,99,5,2,Our Lady of Good Counsel,Olney,MD,Ohio State
Malachi Goodman,OT,6-5.5,320,4,0.9702,56,19,9,2,Paramus Catholic,Paramus,NJ,Penn State
Andrew Olesh,TE,6-4.5,215,4,0.9702,57,46,3,1,Southern Lehigh,Center Valley,PA,Penn State
Michael Terry III,ATH,6-3,217,4,0.9697,58,85,1,12,Alamo Heights,San Antonio,TX,Texas
Ben Hanks III,CB,6-1,170,4,0.9695,59,38,8,9,Booker T. Washington,Miami,FL,Florida
Justin Hill,EDGE,6-3,220,4,0.9691,60,64,6,3,Winton Woods,Cincinnati,OH,Alabama
DaSaahn Brame,TE,6-5,235,4,0.9682,61,66,4,3,Derby,Derby,KS,Tennessee
Ivan Taylor,S,6-0,174,4,0.9681,62,43,6,10,West Orange,Winter Garden,FL,Alabama
AnQuon Fegans,S,6-1,180,4,0.9674,63,110,7,4,Thompson,Alabaster,AL,Auburn
Dorian Brew,CB,6-0,200,4,0.9674,64,98,9,13,Conroe,Conroe,TX,Oregon
Graceson Littleton,CB,6-0,180,4,0.9672,65,81,10,11,Wiregrass Ranch,Tampa,FL,Texas
Madden Faraimo,LB,6-3,230,4,0.9663,66,86,3,5,JSerra Catholic,San Juan Capistrano,CA,Notre Dame
Jaron-Keawe Sagapolutele,QB,6-2.5,217,4,0.9662,67,65,7,1,James Campbell,Ewa Beach,HI,Oregon
Elijah Barnes,LB,6-1.5,220,4,0.9661,68,78,4,14,Dallas Skyline,Dallas,TX,Texas
Gideon Davidson,RB,6-0,193,4,0.9657,69,121,3,1,Liberty Christian Academy,Lynchburg,VA,Clemson
Christopher Burgess Jr.,DL,6-3,265,4,0.9654,70,69,8,4,Simeon,Chicago,IL,Notre Dame
Carius Curne,IOL,6-4,301,4,0.9649,71,67,3,1,Marion,Marion,AR,LSU
Josh Petty,OT,6-5,265,4,0.9638,72,29,10,9,Fellowship Christian School,Roswell,GA,Georgia Tech
Bryce Davis,EDGE,6-3,260,4,0.9636,73,63,7,3,Grimsley,Greensboro,NC,Duke
Carter Lowe,OT,6-5,325,4,0.9633,74,72,11,4,Whitmer,Toledo,OH,Ohio State
Hayden Lowe,EDGE,6-4.5,250,4,0.9633,75,16,8,6,Oaks Christian,Westlake Village,CA,Miami
Ousmane Kromah,RB,6-0,205,4,0.9622,76,107,4,10,Lee County,Leesburg,GA,Florida State
Mariyon Dye,DL,6-5,270,4,0.9605,77,94,9,1,Elkhart,Elkhart,IN,Tennessee
Adonyss Currie,CB,6-1,170,4,0.9601,78,127,11,7,Quartz Hill,Lancaster,CA,Texas A&M
Lagonza Hayward,S,6-1,200,4,0.9599,79,170,8,11,Toombs County,Lyons,GA,Florida
Dramodd Odoms,OT,6-6,300,4,0.9591,80,20,12,15,Houston Lamar,Houston,TX,SMU
Zion Grady,EDGE,6-4,235,4,0.9580,81,114,9,5,Enterprise,Enterprise,AL,Ohio State
J'Vari Flowers,CB,5-10.5,165,4,0.9568,82,,12,12,Miami Northwestern,Miami,FL,Florida
Eric Winters,S,6-2,200,4,0.9566,83,132,9,6,Enterprise,Enterprise,AL,Auburn
Kevin Wynn,DL,6-2,340,4,0.9566,84,60,10,12,Greene County,Greensboro,GA,Florida State
Travis Smith Jr.,WR,6-3.5,199,4,0.9551,85,148,10,13,Westlake,Atlanta,GA,Tennessee
Bryce Baker,QB,6-2.5,195,4,0.9549,86,155,8,4,East Forsyth,Kernersville,NC,North Carolina
Douglas Utu,IOL,6-4,317,4,0.9548,87,161,4,1,Bishop Gorman,Las Vegas,NV,Oregon
Shamari Earls,CB,6-2,180,4,0.9544,88,77,13,2,Thomas Dale,Chester,VA,Michigan
Devin Harper,IOL,6-4,305,4,0.9541,89,131,5,3,Calvary Baptist Academy,Shreveport,LA,Ole Miss
Nick Townsend,TE,6-3,235,4,0.9539,90,74,5,16,Spring Dekaney,Houston,TX,Texas
CJ Wiley,WR,6-4,195,4,0.9530,91,139,11,14,Milton,Alpharetta,GA,Georgia
Dallas Golden,ATH,6-0,176,4,0.9530,92,169,2,13,Berkeley Prep,Tampa,FL,Notre Dame
Matt Zollers,QB,6-3.5,205,4,0.9527,93,87,9,2,Spring-Ford,Royersford,PA,Missouri
Darren Ikinnagbon,DL,6-5,251,4,0.9521,94,36,11,3,Hillside,Hillside,NJ,Georgia
Donovan Olugbode,WR,6-1,200,4,0.9517,95,75,12,14,IMG Academy,Bradenton,FL,Missouri
Kainoa Winston,S,5-10,185,4,0.9508,96,130,10,1,Gonzaga,Washington,DC,Michigan
Anthony Rogers,RB,5-8,190,4,0.9505,97,119,5,7,Carver Montgomery,Montgomery,AL,Ohio State
DJ Sanders,DL,6-4,290,4,0.9504,98,62,12,17,Bellville,Bellville,TX,Texas A&M
Malik Washington,QB,6-4,215,4,0.9503,99,54,10,3,Archbishop Spalding,Severn,MD,Maryland
Zaydrius Rainey-Sale,LB,6-2,220,4,0.9500,100,140,5,1,Bethel,Spanaway,WA,Washington
Chad Woodfork,EDGE,6-4,220,4,0.9499,101,144,10,18,Humble Summer Creek,Humble,TX,TCU
Matai Tagoa'i,LB,6-3,190,4,0.9495,102,168,6,8,San Clemente,San Clemente,CA,USC
Daylan McCutcheon,WR,5-11,175,4,0.9488,103,190,13,19,Lovejoy,Lucas,TX,Texas
Smith Orogbo,EDGE,6-4,220,4,0.9485,104,157,11,20,Alief Hastings,Houston,TX,Texas
RJ Sermons,CB,6-0,185,4,0.9483,105,,14,9,Rancho Cucamonga,Rancho Cucamonga,CA,USC
Malik Clark,WR,6-2.5,183,4,0.9480,106,108,14,2,Rock Hill,Rock Hill,SC,South Carolina
Jamar Beal-Goines,CB,6-0,170,4,0.9475,107,113,15,1,Desert Edge,Phoenix,AZ,Texas A&M
Duke Smith,ATH,6-1,185,4,0.9472,108,204,3,8,Southside Selma,Selma,AL,Auburn
Alai Kalaniuvalu,IOL,6-4,300,4,0.9471,109,111,6,2,Bishop Gorman,Las Vegas,NV,BYU
Ziyare Addison,OT,6-5,290,4,0.9470,110,102,13,15,Carrollwood Day,Tampa,FL,Oregon
Jaylen Gilchrist,IOL,6-4.5,295,4,0.9466,111,120,7,3,Salem,Virginia Beach,VA,Maryland
Daryus Dixson,CB,6-0,180,4,0.9466,112,88,16,10,Mater Dei,Santa Ana,CA,Penn State
Cortez Mills Jr.,WR,6-0.5,165,4,0.9463,113,210,15,16,Homestead,Homestead,FL,Nebraska
Ryan Fodje,OT,6-5,300,4,0.9458,114,70,14,21,Bridgeland,Cypress,TX,Oklahoma
Myron Charles,DL,6-4,295,4,0.9453,115,138,13,17,Port Charlotte,Port Charlotte,FL,Texas
Blake Woodby,CB,5-10.5,175,4,0.9452,116,181,17,4,St. Frances Academy,Baltimore,MD,Auburn
Andrew Marsh,WR,6-1,175,4,0.9448,117,82,16,22,Katy Jordan,Fulshear,TX,Michigan
Chase Linton,EDGE,6-4,215,4,0.9445,118,44,12,15,North Atlanta,Atlanta,GA,Georgia
Kamario Taylor,QB,6-3.5,205,4,0.9444,119,80,11,4,Noxubee County,Macon,MS,Mississippi State
Jordan Young,ATH,6-0,180,4,0.9442,120,,4,5,Monroe,Monroe,NC,Michigan
Dawson Merritt,LB,6-3,215,4,0.9442,121,103,7,4,Blue Valley,Stilwell,KS,Nebraska
Elijah Thomas,ATH,6-1,185,4,0.9441,122,135,5,1,Checotah,Checotah,OK,Oklahoma
Zahir Mathis,EDGE,6-6,225,4,0.9441,123,166,13,3,Imhotep Institute,Philadelphia,PA,Maryland
Seuseu Alofaituli,IOL,6-3,280,4,0.9437,124,163,8,3,Bishop Gorman,Las Vegas,NV,Miami
Joshua Moore,WR,6-4,205,4,0.9435,125,193,17,18,West Broward,Pembroke Pines,FL,Miami
Derek Meadows,WR,6-5,200,4,0.9434,126,61,18,4,Bishop Gorman,Las Vegas,NV,Alabama
James Flanigan,TE,6-4.5,235,4,0.9434,127,118,6,1,Notre Dame Academy,Green Bay,WI,Notre Dame
Noah Mikhail,LB,6-2.5,225,4,0.9433,128,129,8,11,Bonita,La Verne,CA,Texas A&M
Kiotti Armstrong,TE,6-5,265,4,0.9425,129,41,7,23,Jasper,Jasper,TX,Texas A&M
Duke Johnson II,LB,6-1,200,4,0.9418,130,156,9,16,Dodge County,Eastman,GA,Alabama
Elijah Dotson,S,6-2,180,4,0.9417,131,97,11,2,Belleville,Detroit,MI,Michigan
Ryan Montgomery,QB,6-3,215,4,0.9408,132,180,12,5,Findlay,Findlay,OH,Georgia
Charles Ross II,LB,6-1,212,4,0.9405,133,53,10,24,North Shore,Houston,TX,LSU
Carde Smith,OT,6-5,293,4,0.9402,134,233,15,9,Williamson,Mobile,AL,Colorado
Jack Lange,OT,6-7,295,4,0.9400,135,115,16,1,Eureka,Eureka,MO,Missouri
Jaiden Braker,LB,6-3,212,4,0.9398,136,153,11,17,South Gwinnett,Snellville,GA,LSU
Ty Jackson,LB,6-1,200,4,0.9393,137,,12,19,Seminole Ridge,Loxahatchee,FL,Florida
Bryce Fitzgerald,S,6-0.5,172,4,0.9391,138,237,12,20,Miami Columbus,Miami,FL,Miami
Jalen Wiggins,DL,6-4.5,255,4,0.9389,139,192,14,21,Rickards,Tallahassee,FL,Florida
Dylan Robinson,ATH,6-3,190,4,0.9380,140,176,6,12,Bonita,La Verne,CA,Washington
Trystan Haynes,CB,6-2,175,4,0.9380,141,100,18,2,Carl Albert,Oklahoma City,OK,Oklahoma
Jayden Woods,EDGE,6-3,240,4,0.9379,142,90,14,5,Mill Valley,Shawnee,KS,Florida
