Player,Position,Height,Weight,Stars,Rating,CompositeRank,247Rank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Ernie Sims,ILB,6-0,220,5,1.0000,1,,1,1,North Florida Christian,Tallahassee,FL,Florida State
Whitney Lewis,WR,6-1,215,5,0.9990,2,,1,1,St. Bonaventure,Ventura,CA,USC
Kyle Wright,PRO,6-4,200,5,0.9984,3,,1,2,Monte Vista,Danville,CA,Miami
Lamarr Woodley,ILB,6-3,245,5,0.9972,4,,2,1,Saginaw,Saginaw,MI,Michigan
Prescott Burgess,S,6-3,210,5,0.9970,5,,1,1,Harding,Warren,OH,Michigan
Wesley Jefferson,ILB,6-2,230,5,0.9964,6,,3,1,Gwynn Park,Brandywine,MD,Maryland
Andre Caldwell,WR,6-2,180,5,0.9960,7,,2,2,Jefferson,Tampa,FL,Florida
Nate Robinson,DT,6-4,320,5,0.9954,8,,1,1,Irvington,Irvington,NJ,Rutgers
Demetris Summers,RB,6-1,200,5,0.9946,9,,1,1,Lexington,Lexington,SC,South Carolina
Greg Olsen,TE,6-6,235,5,0.9944,10,,1,2,Wayne Hills,Wayne,NJ,Miami
Michael Bush,ATH,6-3,225,5,0.9942,11,,1,1,Louisville Male,Louisville,KY,Louisville
Paul Oliver,CB,6-0,185,5,0.9940,12,,1,1,Harrison,Kennesaw,GA,Georgia
Chris Leak,PRO,6-1,205,5,0.9940,12,,2,1,Independence,Charlotte,NC,Florida
Deljuan Robinson,SDE,6-4,288,5,0.9934,14,,1,1,Hernando,Hernando,MS,Mississippi State
Kregg Lumpkin,RB,6-0,190,5,0.9934,15,,2,2,Stephenson,Stone Mountain,GA,Georgia
Ofa Mohetau,OG,6-3,335,5,0.9934,15,,1,1,Trinity,Euless,TX,BYU
Reggie Bush,RB,6-0,180,5,0.9930,17,,3,3,Helix,La Mesa,CA,USC
Jarvis Moss,WDE,6-7,220,5,0.9928,18,,1,2,Denton Ryan,Denton,TX,Florida
Jorrie Adams,OT,6-7,275,5,0.9926,19,,1,3,Jasper,Jasper,TX,Texas A&M
Joe Cohen,SDE,6-4,245,5,0.9916,20,,2,3,Palm Bay Senior,Melbourne,FL,Florida
Dee Webb,CB,6-0,185,5,0.9912,21,,2,4,Ed White,Jacksonville,FL,Florida
Donte Whitner,CB,5-11,175,5,0.9912,21,,2,2,Glenville,Cleveland,OH,Ohio State
Chad Jackson,WR,6-1,200,5,0.9904,23,,3,1,Hoover,Hoover,AL,Florida
Lawrence Dampeer,DT,6-5,275,5,0.9894,24,,2,1,MacArthur,Decatur,IL,Oklahoma
Robert Meachem,WR,6-3,200,5,0.9890,25,,4,1,Booker T. Washington,Tulsa,OK,Tennessee
Antonio Cromartie,CB,6-3,200,5,0.9876,26,,4,5,Tallahassee Lincoln,Tallahassee,FL,Florida State
Robert Lane,DUAL,6-3,210,5,0.9876,26,,1,1,Neville,Monroe,LA,Ole Miss
Tony Cade,S,6-2,200,5,0.9871,28,,2,4,Lewisville,Lewisville,TX,Oklahoma
Victor Abiamiri,SDE,6-5,245,5,0.9861,29,,3,2,Gilman,Baltimore,MD,Notre Dame
Tony Hills,TE,6-5,260,5,0.9837,30,,2,5,Alief Elsik,Houston,TX,Texas
Tyrone Moss,RB,5-9,215,5,0.9837,30,,4,6,Blanche Ely,Pompano Beach,FL,Miami
Justin Ostrowski,SDE,6-5,255,5,0.9835,32,,4,1,Portage,Portage,WI,Wisconsin
Louis Irizarry,TE,6-5,235,5,0.9833,33,,3,3,Ursuline,Youngstown,OH,Ohio State
Justin Warren,OLB,6-3,220,4,0.9827,34,,1,6,Tyler Lee,Tyler,TX,Texas A&M
Daniel Brooks,ILB,6-3,230,4,0.9825,35,,4,1,Jackson Central Merry,Jackson,TN,Tennessee
Steve Smith,ATH,5-11,190,4,0.9825,35,,2,4,Taft,Woodland Hills,CA,USC
Tommy Grady,PRO,6-6,215,4,0.9819,37,,3,5,Edison,Huntington Beach,CA,Oklahoma
JaMarcus Russell,PRO,6-5,225,4,0.9817,38,,4,2,Williamson,Mobile,AL,LSU
Lawrence Jackson,WDE,6-5,245,4,0.9815,39,,2,6,Inglewood,Inglewood,CA,USC
Xavier Lawson-Kennedy,DT,6-3,305,4,0.9813,40,,3,7,Duncanville,Duncanville,TX,Oklahoma State
Tarell Brown,CB,5-10,180,4,0.9807,41,,5,8,North Mesquite,Mesquite,TX,Texas
Reggie Nelson,S,6-0,175,4,0.9805,42,,3,7,Palm Bay Senior,Melbourne,FL,Florida
Sean Bailey,WR,6-0,165,4,0.9799,43,,5,3,Milton,Alpharetta,GA,Georgia
Quinton Culberson,S,6-2,205,4,0.9791,44,,4,2,Provine,Jackson,MS,Mississippi State
Jordy Lipsey,OC,6-4,270,4,0.9785,45,,1,8,Lake Brantley,Altamonte Springs,FL,Virginia
Martin O'Donnell,OT,6-5,290,4,0.9783,46,,2,2,Downers Grove South,Downers Grove,IL,Illinois
Amp Hill,WR,6-2,195,4,0.9783,46,,6,9,First Coast,Jacksonville,FL,LSU
Chris Barrett,TE,6-5,250,4,0.9769,48,,4,7,Tustin,Tustin,CA,USC
Jayson Swain,WR,6-2,200,4,0.9763,49,,7,3,Grissom,Huntsville,AL,Tennessee
Tim Crowder,WDE,6-4,230,4,0.9759,50,,3,9,John Tyler,Tyler,TX,Texas
Turk McBride,WDE,6-4,235,4,0.9759,50,,3,3,Camden Eastside,Camden,NJ,Tennessee
Mark Bradford,WR,6-1,185,4,0.9759,52,,8,8,Fremont,Sunnyvale,CA,Stanford
Dennis Dixon,DUAL,6-4,180,4,0.9757,53,,2,9,San Leandro,San Leandro,CA,Oregon
David Patterson,DT,6-3,260,4,0.9755,54,,4,4,Warrensville Heights,Cleveland,OH,Ohio State
Vernon Davis,TE,6-3,220,4,0.9751,55,,5,1,Dunbar,Washington,DC,Maryland
Shawn Crable,WDE,6-6,230,4,0.9741,56,,5,5,Massillon Washington,Massillon,OH,Michigan
Doug Van Dyke,SDE,6-4,245,4,0.9741,56,,5,2,Marshall,Marshall,MI,Purdue
Carnell Stewart,DT,6-6,297,4,0.9737,58,,5,2,John Curtis,New Orleans,LA,LSU
Darrell Blackman,RB,6-1,185,4,0.9735,59,,5,1,Williamsport Area,Williamsport,PA,NC State
Drew Radovich,OG,6-5,275,4,0.9721,60,,2,10,Mission Viejo,Mission Viejo,CA,USC
Phillip Brown,CB,5-11,185,4,0.9713,61,,6,1,Phoebus,Hampton,VA,Virginia
Jim Presley,OLB,6-3,225,4,0.9697,62,,2,3,Milford,Highland,MI,Michigan
Sedrick Ellis,DT,6-2,260,4,0.9693,63,,6,11,Chino,Chino,CA,USC
Nathaniel Robinson,DT,6-4,319,4,0.9667,64,,7,4,Irvington,Irvington,NJ,Rutgers
Tim Castille,ATH,5-11,220,4,0.9663,65,,3,4,Briarwood Christian,Birmingham,AL,Alabama
Mike Mason,WR,6-0,175,4,0.9661,66,,9,2,Rocky Mount,Rocky Mount,NC,North Carolina
Jonathan Stupar,TE,6-5,245,4,0.9659,67,,6,2,State College Area,State College,PA,Virginia
Marcus Thomas,DT,6-4,285,4,0.9657,68,,8,10,Mandarin,Jacksonville,FL,Florida
Tim Washington,SDE,6-4,235,4,0.9645,69,,6,10,Fort Bend Dulles,Sugar Land,TX,LSU
Sam Baker,OG,6-5,305,4,0.9639,70,,3,12,Tustin,Tustin,CA,USC
Craig Chambers,WR,6-5,190,4,0.9637,71,,10,1,Jackson,Bothell,WA,Washington
Donovan Davis,OT,6-7,330,4,0.9629,72,,3,3,Callaway,Jackson,MS,Mississippi State
Ryan Mundy,S,6-2,200,4,0.9618,73,,5,3,Woodland Hills,Pittsburgh,PA,Michigan
Kirston Pittman,OLB,6-4,235,4,0.9501,74,,3,3,East St. John,Reserve,LA,LSU
John Sullivan,OC,6-4,270,4,0.9493,75,,2,1,Greenwich,Greenwich,CT,Notre Dame
