Player,Position,Height,Weight,Stars,Rating,CompositeRank,247Rank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Eugene Monroe,OT,6-6,320,5,0.9992,1,,1,1,Plainfield,Plainfield,NJ,Virginia
Patrick Turner,WR,6-5,205,5,0.9992,2,,1,1,Goodpasture Christian School,Madison,TN,USC
Mark Sanchez,PRO,6-4,210,5,0.9988,3,,1,1,Agape Academy,Mission Viejo,CA,USC
Derrick Williams,WR,6-0,190,5,0.9986,4,,2,1,Eleanor Roosevelt,Greenbelt,MD,Penn State
Fred Rouse,WR,6-4,195,5,0.9980,5,,3,1,Tallahassee Lincoln,Tallahassee,FL,Florida State
Ryan Perrilloux,DUAL,6-2,205,5,0.9968,6,,1,1,East St. John,Reserve,LA,LSU
DeMarcus Granger,DT,6-3,315,5,0.9964,7,,1,1,Kimball,Dallas,TX,Oklahoma
Kenneth Phillips,S,6-2,195,5,0.9960,8,,1,2,Miami Carol City,Opa Locka,FL,Miami
Reggie Youngblood,OT,6-5,280,5,0.9960,9,,2,2,Booker T. Washington,Houston,TX,Miami
Rey Maualuga,ILB,6-2,255,5,0.9958,10,,1,2,Eureka,Eureka,CA,USC
Tray Blackmon,OLB,6-0,200,5,0.9956,11,,1,1,LaGrange,LaGrange,GA,Auburn
Jonathan Stewart,RB,5-10,225,5,0.9952,12,,1,1,Timberline,Lacey,WA,Oregon
Demetrice Morley,CB,6-0,180,5,0.9952,13,,1,3,Miami Killian,Miami,FL,Tennessee
Marlon Lucky,RB,6-0,205,5,0.9950,14,,2,3,North Hollywood Senior,North Hollywood,CA,Nebraska
Justin King,CB,6-0,185,5,0.9942,15,,2,1,Gateway,Monroeville,PA,Penn State
Martellus Bennett,TE,6-7,240,5,0.9936,16,,1,3,Alief Taylor,Houston,TX,Texas A&M
Alex Boone,OT,6-8,295,5,0.9934,17,,3,1,St. Edward,Lakewood,OH,Ohio State
Callahan Bright,DT,6-2,315,5,0.9932,18,,2,2,Harriton,Bryn Mawr,PA,Florida State
Antone Smith,RB,5-8,180,5,0.9932,18,,3,4,Pahokee,Pahokee,FL,Florida State
Melvin Alaeze,SDE,6-2,275,5,0.9916,20,,1,2,Randallstown,Randallstown,MD,Maryland
Kevin Grady,RB,5-10,225,5,0.9914,21,,4,1,East Grand Rapids,Grand Rapids,MI,Michigan
DeSean Jackson,WR,5-11,175,5,0.9910,22,,4,4,Long Beach Poly,Long Beach,CA,California
Jamario O'Neal,CB,6-1,205,5,0.9908,23,,3,2,Glenville,Cleveland,OH,Ohio State
Jerrell Powe,DT,6-3,350,5,0.9890,24,,3,1,Wayne County,Waynesboro,MS,Ole Miss
Jason Gwaltney,RB,6-0,235,5,0.9888,25,,5,1,North Babylon,North Babylon,NY,West Virginia
Toney Baker,RB,5-10,216,5,0.9884,26,,6,1,Ragsdale,Jamestown,NC,NC State
Luthur Brown,ILB,6-3,225,5,0.9878,27,,2,5,Lakewood,Lakewood,CA,USC
Kade Weston,DT,6-5,315,5,0.9878,27,,4,2,Red Bank Catholic,Red Bank,NJ,Georgia
