Player,Position,Height,Weight,Stars,Rating,CompositeRank,247Rank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Andre Smith,OG,6-4,325,5,0.9994,1,,1,1,Huffman,Birmingham,AL,Alabama
Percy Harvin,WR,5-11,185,5,0.9990,2,,1,1,Landstown,Virginia Beach,VA,Florida
Vidal Hazelton,WR,6-3,195,5,0.9984,3,,2,2,Hargrave Military Academy,Chatham,VA,USC
Sergio Kindle,ILB,6-4,225,5,0.9981,4,,1,1,Woodrow Wilson,Dallas,TX,Texas
Myron Rolle,S,6-3,210,5,0.9977,5,,1,1,Hun School,Princeton,NJ,Florida State
Matthew Stafford,PRO,6-3,210,5,0.9975,6,,1,2,Highland Park,Dallas,TX,Georgia
Beanie Wells,RB,6-1,225,5,0.9965,7,,1,1,Garfield,Akron,OH,Ohio State
Sam Young,OT,6-8,305,5,0.9964,8,,1,1,St. Thomas Aquinas,Fort Lauderdale,FL,Notre Dame
Mitch Mustain,PRO,6-3,205,5,0.9964,9,,2,1,Springdale,Springdale,AR,Arkansas
Stafon Johnson,RB,5-11,201,5,0.9947,10,,2,1,Dorsey,Los Angeles,CA,USC
Taylor Mays,ATH,6-3,219,5,0.9945,11,,1,1,O'Dea,Seattle,WA,USC
Al Woods,DT,6-4,330,5,0.9942,12,,1,1,Elton,Elton,LA,LSU
Gerald McCoy,DT,6-4,305,5,0.9937,13,,2,1,Southeast,Oklahoma City,OK,Oklahoma
Reshad Jones,S,6-1,175,5,0.9934,14,,2,1,Washington,Atlanta,GA,Georgia
Micah Johnson,ILB,6-2,260,5,0.9934,15,,2,1,Fort Campbell,Fort Campbell,KY,Kentucky
Brandon Graham,ILB,6-2,250,5,0.9930,16,,3,1,Crockett,Detroit,MI,Michigan
Allen Bradford,RB,5-11,220,5,0.9925,17,,3,2,Colton,Colton,CA,USC
Brandon Warren,TE,6-2,230,5,0.9922,18,,1,1,Alcoa,Alcoa,TN,Florida State
C.J. Spiller,RB,5-10,185,5,0.9919,19,,4,2,Union County,Lake Butler,FL,Clemson
Eddie Jones,WDE,6-3,260,5,0.9919,20,,1,3,Kilgore,Kilgore,TX,Texas
Tim Tebow,DUAL,6-3,215,5,0.9919,21,,1,3,Ponte Vedra,Ponte Vedra Beach,FL,Florida
DeMarco Murray,RB,6-0,185,5,0.9901,22,,5,1,Bishop Gorman,Las Vegas,NV,Oklahoma
Antwine Perez,CB,6-1,200,5,0.9896,23,,1,2,Camden,Camden,NJ,USC
Carl Johnson,OG,6-5,355,5,0.9887,24,,2,1,Southern,Durham,NC,Florida
Mike Goodson,RB,5-11,190,5,0.9887,25,,6,4,Klein Collins,Spring,TX,Texas A&M
C.J. Gable,RB,6-0,205,5,0.9880,26,,7,3,Sylmar,Sylmar,CA,USC
James Aldridge,RB,6-1,215,5,0.9873,27,,8,1,Crown Point,Crown Point,IN,Notre Dame
Ricky Sapp,WDE,6-4,225,5,0.9866,28,,2,1,Bamberg-Ehrhardt,Bamberg,SC,Clemson
LeSean McCoy,RB,5-11,205,5,0.9861,29,,9,1,Bishop McDevitt,Harrisburg,PA,Miami
Maurice Evans,SDE,6-3,245,5,0.9847,30,,1,1,Christ the King,Middle Village,NY,Penn State
Robert Rose,SDE,6-4,255,5,0.9845,31,,2,2,Glenville,Cleveland,OH,Ohio State
Marcus Ball,ILB,6-0,205,5,0.9845,32,,4,2,Stone Mountain,Stone Mountain,GA,Florida State
Brandon Spikes,ILB,6-3,235,4,0.9831,33,,5,2,Crest,Shelby,NC,Florida
Carlos Brown,RB,6-0,205,4,0.9827,34,,10,3,Heard County,Franklin,GA,Michigan
J'Marcus Webb,OT,6-8,285,4,0.9823,35,,2,5,North Mesquite,Mesquite,TX,Texas
Akeem Hebron,OLB,6-1,200,4,0.9819,36,,1,1,Our Lady of Good Counsel,Milledgeville,GA,Georgia
