Player,Position,Height,Weight,Stars,Rating,CompositeRank,247Rank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Keith Ford,RB,5-11,203,5,0.9878,25,33,3,2,Cy Ranch,Cypress,TX,Oklahoma
Vonn Bell,S,5-11.5,193,5,0.9876,26,29,2,4,Ridgeland,Rossville,GA,Ohio State
Derrick Green,RB,6-0,220,5,0.9874,27,84,4,3,Hermitage,Richmond,VA,Michigan
Robbie Rhodes,WR,6-1,189,5,0.9866,28,21,3,3,Southwest,Fort Worth,TX,Baylor
Max Redfield,S,6-3,195,5,0.9856,29,41,3,3,Mission Viejo,Mission Viejo,CA,Notre Dame
Mackensie Alexander,CB,5-10,180,5,0.9853,30,34,4,6,Immokalee,Immokalee,FL,Clemson
A'Shawn Robinson,OT,6-5,302,5,0.9852,31,26,2,4,Arlington Heights,Fort Worth,TX,Alabama
Leon McQuay III,S,6-2,184,5,0.9848,32,42,4,7,Armwood,Seffner,FL,USC
Tony Conner,S,6-1.5,203,5,0.9841,33,25,5,2,South Panola,Batesville,MS,Ole Miss
Jalin Marshall,WR,6-0,190,5,0.9838,34,57,4,1,Middletown,Middletown,OH,Ohio State
Darius James,OG,6-6,320,5,0.9837,35,35,1,5,Harker Heights,Harker Heights,TX,Texas
DeMarcus Walker,SDE,6-3,265,4,0.9829,36,38,3,8,Sandalwood,Jacksonville,FL,Florida State
Joey Bosa,SDE,6-5,270,4,0.9818,37,53,4,9,St. Thomas Aquinas,Fort Lauderdale,FL,Ohio State
Kent Perkins,OT,6-6,285,4,0.9814,38,49,3,6,Lake Highlands,Dallas,TX,Texas
Priest Willis,S,6-2,200,4,0.9810,39,47,6,1,Marcos De Niza,Tempe,AZ,UCLA
Alex Collins,RB,5-11,204,4,0.9805,40,17,5,10,South Plantation,Fort Lauderdale,FL,Arkansas
Derrick Griffin,WR,6-7,210,4,0.9803,41,86,5,7,Terry,Rosenberg,TX,Miami
Alvin Kamara,APB,5-10,195,4,0.9796,42,66,1,5,Norcross,Norcross,GA,Alabama
Adam Breneman,TE,6-5,227,4,0.9779,43,48,2,2,Cedar Cliff,Camp Hill,PA,Penn State
Dorian Johnson,OT,6-5,280,4,0.9777,44,8,4,3,Belle Vernon,Belle Vernon,PA,Pittsburgh
Greg Bryant,RB,5-11,196,4,0.9768,45,128,6,11,American Heritage Boca/Delray,Delray Beach,FL,Notre Dame
Tre'Davious White,CB,5-10.5,170,4,0.9763,46,9,5,1,Green Oaks,Shreveport,LA,LSU
Dee Liner,DT,6-2.5,277,4,0.9760,47,112,4,3,Muscle Shoals,Muscle Shoals,AL,Alabama
Al-Quadin Muhammad,SDE,6-4,230,4,0.9760,48,58,5,1,Don Bosco Prep,Ramsey,NJ,Miami
Ty Isaac,APB,6-2,215,4,0.9752,49,85,2,2,Joliet Catholic Academy,Joliet,IL,USC
Chris Hawkins,CB,6-0,175,4,0.9752,50,74,6,4,Rancho Cucamonga,Rancho Cucamonga,CA,USC
Alex Anzalone,OLB,6-3,232,4,0.9750,51,32,4,4,Wyomissing,Reading,PA,Florida
Eli Apple,CB,6-1,185,4,0.9749,52,45,7,2,Eastern Regional,Voorhees,NJ,Ohio State
Altee Tenpenny,RB,5-11,212,4,0.9747,53,51,7,1,North Little Rock,North Little Rock,AR,Alabama
Mike Mitchell,OLB,6-4,222,4,0.9747,54,95,5,8,Prestonwood Christian,Plano,TX,Ohio State
Elijah Daniel,SDE,6-4,250,4,0.9746,55,27,6,2,Avon,Avon,IN,Auburn
Ryan Green,APB,5-10,195,4,0.9745,56,40,3,12,St. Petersburg Catholic,St. Petersburg,FL,Florida State
Ethan Pocic,OT,6-7,280,4,0.9744,57,72,5,3,Lemont,Lemont,IL,LSU
Holland Fisher,S,6-1.5,207,4,0.9738,58,36,7,4,Manchester,Midlothian,VA,Virginia Tech
Daniel McMillian,OLB,6-2,220,4,0.9734,59,44,6,13,First Coast,Jacksonville,FL,Florida
Taquan Mizzell,APB,5-10,180,4,0.9733,60,62,4,5,Bayside,Virginia Beach,VA,Virginia
Grant Hill,OG,6-6,300,4,0.9733,61,54,2,4,Huntsville,Huntsville,AL,Alabama
James Quick,WR,6-2,180,4,0.9731,62,109,6,1,Trinity,Louisville,KY,Louisville
Cameron Burrows,CB,6-0,195,4,0.9729,63,60,8,2,Trotwood-Madison,Dayton,OH,Ohio State
Tahaan Goodman,S,6-3,195,4,0.9724,64,46,8,5,Rancho Cucamonga,Rancho Cucamonga,CA,UCLA
Stacy Coley,WR,6-1,175,4,0.9722,65,56,7,14,Northeast,Fort Lauderdale,FL,Miami
Tyren Jones,RB,5-8.5,202,4,0.9716,66,64,8,6,Walton,Marietta,GA,Alabama
Steven Mitchell Jr.,WR,5-10,180,4,0.9713,67,69,8,6,Bishop Alemany,Mission Hills,CA,USC
Patrick Kugler,OC,6-4,270,4,0.9713,68,97,1,5,North Allegheny,Wexford,PA,Michigan
Ezekiel Elliott,APB,6-0,212,4,0.9711,69,70,5,1,John Burroughs School,St. Louis,MO,Ohio State
Dymonte Thomas,S,6-1,190,4,0.9697,70,80,9,3,Marlington,Alliance,OH,Michigan
Shane Morris,PRO,6-3,201,4,0.9695,71,81,3,1,De La Salle Collegiate,Warren,MI,Michigan
Dontre Wilson,APB,5-10,181,4,0.9694,72,113,6,9,DeSoto,DeSoto,TX,Ohio State
Justin Manning,DT,6-3,275,4,0.9680,73,105,5,10,Kimball,Dallas,TX,Texas A&M
Kendell Beckwith,OLB,6-2.5,225,4,0.9670,74,68,7,2,East Feliciana,Jackson,LA,LSU
Evan Lisle,OT,6-5,260,4,0.9663,75,89,6,4,Centerville,Dayton,OH,Ohio State
Damore'ea Stringfellow,WR,6-3,190,4,0.9661,76,116,9,7,Rancho Verde,Moreno Valley,CA,Washington
Tray Matthews,S,6-1,192,4,0.9653,77,99,10,7,Newnan,Newnan,GA,Georgia
Demarcus Robinson,WR,6-1.5,196,4,0.9648,78,148,10,8,Peach County,Fort Valley,GA,Florida
Marcell Harris,S,6-1,209,4,0.9647,79,63,11,15,Dr. Phillips,Groveland,FL,Florida
Hunter Henry,TE,6-6,235,4,0.9634,80,106,3,2,Pulaski Academy,Little Rock,AR,Arkansas
Cooper Bateman,PRO,6-3,195,4,0.9631,81,87,4,1,Cottonwood,Salt Lake City,UT,Alabama
ArDarius Stewart,ATH,6-1,190,4,0.9625,82,67,3,5,Fultondale,Birmingham,AL,Alabama
Tim Williams,WDE,6-3,225,4,0.9619,83,73,2,3,University Lab,Baton Rouge,LA,Alabama
Kelsey Griffin,DT,6-2,290,4,0.9616,84,78,6,9,Mill Creek,Hoschton,GA,South Carolina
Kyle Bosch,OG,6-5,305,4,0.9616,85,103,3,4,St. Francis,Wheaton,IL,Michigan
Marcus Baugh,TE,6-4,225,4,0.9614,86,82,4,8,John W. North,Riverside,CA,Ohio State
Maurice Smith,CB,5-11.5,184,4,0.9613,87,121,9,11,Fort Bend Dulles,Sugar Land,TX,Alabama
Marquez North,WR,6-4,212,4,0.9597,88,154,11,1,Mallard Creek,Charlotte,NC,Tennessee
Frank Herron,SDE,6-5,235,4,0.9595,89,75,7,2,Memphis Central,Memphis,TN,LSU
Greg Gilmore,DT,6-4,273,4,0.9593,90,59,7,2,South View,Hope Mills,NC,LSU
Derwin Gray,OT,6-5.5,295,4,0.9589,91,61,7,1,Friendship Academy,Washington,DC,Maryland
Kylie Fitts,SDE,6-4,241,4,0.9586,92,102,8,9,Redlands East Valley,Redlands,CA,UCLA
Kevin Olsen,PRO,6-3,195,4,0.9582,93,94,5,3,Wayne Hills,Wayne,NJ,Miami
Austin Golson,OT,6-6,285,4,0.9562,94,139,8,6,Prattville,Prattville,AL,Ole Miss
Justin Davis,RB,6-1,195,4,0.9555,95,202,9,10,Lincoln,Stockton,CA,USC
David Dawson,OG,6-4,280,4,0.9552,96,65,4,2,Cass Technical,Detroit,MI,Michigan
Hunter Bivin,OT,6-7,290,4,0.9545,97,43,9,2,Apollo,Owensboro,KY,Notre Dame
Artie Burns,S,6-1,180,4,0.9545,98,52,12,16,Miami Northwestern,Miami,FL,Miami
Isaiah Golden,DT,6-2,330,4,0.9543,99,76,8,12,Carthage,Carthage,TX,Texas A&M
Dorian O'Daniel,OLB,6-1,205,4,0.9541,100,125,8,3,Our Lady of Good Counsel,Olney,MD,Clemson
Troy Williams,PRO,6-1,190,4,0.9541,101,124,6,11,Narbonne,Harbor City,CA,Washington
Brice Ramsey,PRO,6-3,197,4,0.9537,102,37,7,10,Camden County,Kingsland,GA,Georgia
Larenz Bryant,OLB,6-1,213,4,0.9536,103,50,9,3,Chambers,Charlotte,NC,South Carolina
Cody Thomas,PRO,6-5,210,4,0.9529,104,92,8,13,Colleyville Heritage,Colleyville,TX,Oklahoma
Ahmad Fulwood,WR,6-4,200,4,0.9512,105,158,12,17,Bishop Kenny,Jacksonville,FL,Florida
Tarean Folston,RB,5-9,185,4,0.9508,106,122,10,18,Cocoa,Cocoa,FL,Notre Dame
Michael Hutchings,OLB,6-2,215,4,0.9506,107,234,10,12,De La Salle,Concord,CA,USC
Trey Johnson,ILB,6-2,218,4,0.9501,108,153,2,11,Central Gwinnett,Lawrenceville,GA,Ohio State
Steve Elmer,OT,6-6,315,4,0.9500,109,135,10,3,Midland,Midland,MI,Notre Dame
Chris Fox,OG,6-6,300,4,0.9494,110,136,5,1,Ponderosa,Parker,CO,Michigan
Keanu Neal,S,6-1,200,4,0.9486,111,193,13,19,South Sumter,Bushnell,FL,Florida
Isaac Rochell,SDE,6-5,260,4,0.9482,112,127,9,12,Eagle's Landing Christian Academy,McDonough,GA,Notre Dame
Ira Denson,OG,6-4,322,4,0.9479,113,150,6,20,Madison County,Madison,FL,Florida State
Caleb Brantley,DT,6-3,308,4,0.9478,114,176,9,21,Crescent City,Crescent City,FL,Florida
Elijah Qualls,DT,6-2,265,4,0.9471,115,96,10,13,Casa Grande,Petaluma,CA,Washington
Jourdan Lewis,CB,5-10,170,4,0.9467,116,,10,4,Cass Technical,Detroit,MI,Michigan
Tyrone Crowder,OG,6-1,330,4,0.9465,117,160,7,4,Richmond,Rockingham,NC,Clemson
Henry Poggi,DT,6-4,270,4,0.9456,118,120,11,4,Gilman,Baltimore,MD,Michigan
Jake Raulerson,OC,6-5,260,4,0.9451,119,172,2,14,Celina,Celina,TX,Texas
DeSean Smith,TE,6-4.25,224,4,0.9443,120,132,5,4,Barbe,Lake Charles,LA,LSU
Tramel Terry,WR,6-0,192,4,0.9442,121,101,13,1,Goose Creek,Goose Creek,SC,Georgia
D.J. Ward,SDE,6-4,242,4,0.9436,122,191,10,1,Southmoore,Lawton,OK,Oklahoma
Terrell Newby,RB,5-10,185,4,0.9436,123,138,11,14,Chaminade,West Hills,CA,Nebraska
Jeryl Brazil,CB,5-10,180,4,0.9423,124,142,11,5,Loranger,Loranger,LA,LSU
Deoundrei Davis,OLB,6-1.5,210,4,0.9420,125,,11,15,Cy Woods,Cypress,TX,Texas
Tyler Boyd,WR,6-2.5,180,4,0.9418,126,166,14,6,Clairton,Clairton,PA,Pittsburgh
Stanvon Taylor,WR,5-11,160,4,0.9400,127,88,15,2,East Central,Tulsa,OK,Oklahoma
Isaako Savaiinaea,ILB,6-3,230,4,0.9397,128,91,3,1,Punahou,Honolulu,HI,UCLA
Tyrell Robinson,OLB,6-3,200,4,0.9395,129,134,12,15,San Diego Lincoln,San Diego,CA,Oregon
Asiantii Woulard,DUAL,6-4,200,4,0.9393,130,98,1,22,Winter Park,Winter Park,FL,UCLA
Tony Stevens,WR,6-3,175,4,0.9386,131,168,16,23,Evans,Orlando,FL,Auburn
Taco Charlton,WDE,6-6,255,4,0.9386,132,108,3,5,Pickerington Central,Pickerington,OH,Michigan
Antwuan Davis,CB,6-0,180,4,0.9384,133,,12,16,Bastrop,Bastrop,TX,Texas
Shaq Wiggins,CB,5-9,160,4,0.9383,134,186,13,13,Sandy Creek,Tyrone,GA,Georgia
Khaliel Rodgers,OC,6-2,310,4,0.9382,135,83,3,5,Eastern Christian,New Castle,DE,USC
J.T. Barrett,DUAL,6-2,205,4,0.9380,136,100,2,17,Wichita Falls Rider,Wichita Falls,TX,Ohio State
Shelton Gibson,WR,5-11,181,4,0.9373,137,182,17,6,Cleveland Heights,Cleveland,OH,West Virginia
Andrew Billings,DT,6-2,315,4,0.9369,138,157,12,18,Waco,Waco,TX,Baylor
John Montelus,OG,6-5,305,4,0.9360,139,,8,1,Everett,Everett,MA,Notre Dame
Greg Webb,DT,6-1,295,4,0.9358,140,175,13,4,Timber Creek,Pennsauken,NJ,North Carolina
Cole Luke,CB,6-0,170,4,0.9356,141,77,14,2,Hamilton,Chandler,AZ,Notre Dame
Darrell Daniels,WR,6-3,200,4,0.9354,142,123,18,16,Freedom,Oakley,CA,Washington
Sebastian LaRue,WR,5-11,195,4,0.9354,143,126,19,17,Santa Monica,Santa Monica,CA,Texas A&M
Denver Kirkland,OG,6-5,333,4,0.9348,144,,9,24,Booker T. Washington,Miami,FL,Arkansas
Hayden Rettig,PRO,6-3,190,4,0.9348,145,170,9,18,Cathedral,Los Angeles,CA,LSU
Mike McCray,ATH,6-4,230,4,0.9347,146,194,4,7,Trotwood-Madison,Dayton,OH,Michigan
Josh Boutte,OG,6-4,305,4,0.9346,147,111,10,6,Westgate,New Iberia,LA,LSU
John Johnson,CB,5-10,175,4,0.9345,148,,15,19,Central East,Fresno,CA,UCLA
Kameron Miles,S,6-2,195,4,0.9341,149,183,14,19,West Mesquite,Mesquite,TX,Texas A&M
Kailo Moore,APB,5-10,190,4,0.9341,150,93,7,3,West Bolivar Dist,Rosedale,MS,Ole Miss
Tyree Robinson,ATH,6-4,190,4,0.9337,151,152,5,20,San Diego Lincoln,San Diego,CA,Oregon
Matt Rolin,OLB,6-4,210,4,0.9334,152,161,13,6,Briar Woods,Ashburn,VA,Florida
Peter Kalambayi,ILB,6-4,240,4,0.9333,153,209,4,5,Butler,Matthews,NC,Stanford
Corey Clement,RB,5-11,205,4,0.9333,154,71,12,5,Glassboro,Glassboro,NJ,Wisconsin
Wyatt Teller,SDE,6-5,270,4,0.9332,155,110,11,7,Liberty,Bealeton,VA,Virginia Tech
Gareon Conley,CB,6-1,172,4,0.9329,156,147,16,8,Massillon Washington,Massillon,OH,Ohio State
LaQuvionte Gonzalez,WR,5-10,155,4,0.9314,157,155,20,20,Cedar Hill,Cedar Hill,TX,Texas A&M
Mike McGlinchey,OT,6-8,275,4,0.9313,158,131,11,7,William Penn Charter,Philadelphia,PA,Notre Dame
Jovon Robinson,RB,5-11,220,4,0.9313,159,214,13,3,Wooddale,Memphis,TN,Auburn
Aaron Bailey,DUAL,6-2,225,4,0.9308,160,149,3,5,Bolingbrook,Bolingbrook,IL,Illinois
Joshua Dobbs,PRO,6-3,190,4,0.9305,161,107,10,14,Alpharetta,Alpharetta,GA,Tennessee
David Williams,APB,6-0.5,204,4,0.9305,162,145,8,8,Imhotep Institute,Philadelphia,PA,South Carolina
Jake Oliver,WR,6-4,198,4,0.9301,163,151,21,21,Dallas Jesuit,Dallas,TX,Texas
Malik Zaire,DUAL,6-1,185,4,0.9300,164,,4,9,Archbishop Alter,Dayton,OH,Notre Dame
Tim Kimbrough,ILB,5-11.5,228,4,0.9299,165,218,5,3,Warren Central,Indianapolis,IN,Georgia
Jeremy Johnson,PRO,6-5,215,4,0.9295,166,246,11,7,Carver Montgomery,Montgomery,AL,Auburn
Tyshon Dye,RB,6-0,208,4,0.9295,167,178,14,15,Elbert County,Elberton,GA,Clemson
Jake Butt,TE,6-6,230,4,0.9288,168,,6,10,Pickerington North,Pickerington,OH,Michigan
Daeshon Hall,WDE,6-6,220,4,0.9287,169,146,4,22,Lancaster,Lancaster,TX,Texas A&M
Hatari Byrd,S,6-1,195,4,0.9287,170,90,15,21,Central East,Fresno,CA,Oklahoma
Darius Paige,DT,6-4,295,4,0.9286,171,55,14,8,Foley,Foley,AL,Alabama
Logan Tuley-Tillman,OT,6-7,300,4,0.9285,172,129,12,6,Manual,Peoria,IL,Michigan
Kohl Stewart,PRO,6-3,190,4,0.9284,173,164,12,23,St. Pius X,Houston,TX,Texas A&M
Ryan Burns,PRO,6-5,225,4,0.9283,174,141,13,8,Stone Bridge,Ashburn,VA,Stanford
T.J. Logan,APB,5-11,175,4,0.9281,175,173,9,6,Northern Guilford,Greensboro,NC,North Carolina
Michael Hill,DT,6-2,315,4,0.9276,176,,15,2,Pendleton,Pendleton,SC,Ohio State
Torrodney Prevot,WDE,6-3,205,4,0.9275,177,241,5,24,Alief Taylor,Houston,TX,Oregon
Quinton Powell,OLB,6-2,194,4,0.9274,178,204,14,25,Mainland,Daytona Beach,FL,USC
Jason Hatcher,WDE,6-2.5,240,4,0.9252,179,,6,3,Trinity,Louisville,KY,Kentucky
Chans Cox,ILB,6-2,220,4,0.9251,180,184,6,3,Blue Ridge,Lakeside,AZ,Arizona State
Alvin Bailey,WR,5-10.5,175,4,0.9236,181,222,22,26,Armwood,Seffner,FL,Florida
E.J. Levenberry,ILB,6-3,227,4,0.9233,182,,7,9,C. D. Hylton,Woodbridge,VA,Florida State
Ashton Shumpert,S,6-2,212,4,0.9230,183,137,16,4,Tupelo,Tupelo,MS,Mississippi State
Ben Boulware,ILB,6-0,230,4,0.9229,184,,8,3,T.L. Hanna,Anderson,SC,Clemson
Keith Bryant,DT,6-1.5,302,4,0.9227,185,,16,27,Atlantic,Delray Beach,FL,Florida State
Jon Reschke,ILB,6-2,227,4,0.9227,186,,9,5,Brother Rice,Bloomfield Hills,MI,Michigan State
Brandon Kublanow,OC,6-2,290,4,0.9226,187,,4,16,Walton,Marietta,GA,Georgia
Jason Carr,SDE,6-6,270,4,0.9225,188,117,12,4,White Station,Memphis,TN,Tennessee
Garrett Sickels,WDE,6-4,230,4,0.9225,189,197,7,6,Red Bank Reg,Little Silver,NJ,Penn State
Brendan Langley,CB,6-1,180,4,0.9225,190,181,17,17,Kell,Marietta,GA,Georgia
John Diarse,WR,6-0,205,4,0.9223,191,163,23,7,Neville,Monroe,LA,LSU
Eldridge Massington,WR,6-3,203,4,0.9220,192,180,24,25,West Mesquite,Mesquite,TX,UCLA
Joe Mathis,DT,6-2.5,250,4,0.9220,193,,17,22,Upland,Upland,CA,Washington
Tyrone Swoopes,ATH,6-4,230,4,0.9219,194,236,6,26,Whitewright,Whitewright,TX,Texas
Corn Elder,ATH,5-10,165,4,0.9218,195,207,7,5,Ensworth,Nashville,TN,Miami
Fred Ross,WR,6-2,185,4,0.9216,196,,25,27,John Tyler,Tyler,TX,Mississippi State
Darren Carrington II,WR,6-3,180,4,0.9213,197,130,26,23,Horizon,San Diego,CA,Oregon
Colin McGovern,OT,6-6,295,4,0.9209,198,,13,7,Lincoln Way West,New Lenox,IL,Notre Dame
Deon Hollins,OLB,6-1.5,225,4,0.9209,199,,15,28,Fort Bend Marshall,Missouri City,TX,UCLA
Tashawn Bower,SDE,6-5,241,4,0.9209,200,,13,7,Immaculata,Somerville,NJ,LSU
Nick Washington,S,6-0,182,4,0.9208,201,,17,28,Trinity Christian Academy,Jacksonville,FL,Florida
Jason Smith,WR,6-1,180,4,0.9202,202,104,27,9,McGill Toolen,Mobile,AL,Auburn
Kyle Hicks,RB,5-10,195,4,0.9199,203,227,15,29,Arlington Martin,Arlington,TX,TCU
Damion Terry,DUAL,6-4,218,4,0.9190,204,205,5,9,Cathedral Prep,Erie,PA,Michigan State
Rickey Jefferson,WR,6-0,180,4,0.9183,205,,28,8,Destrehan,Destrehan,LA,LSU
Ishmael Wilson,OT,6-5,292,4,0.9182,206,177,14,30,Bishop Dunne,Dallas,TX,Texas A&M
Tim Harris,S,6-2,173,4,0.9182,207,140,18,10,Varina,Richmond,VA,Virginia
De'Veon Smith,RB,5-11,216,4,0.9181,208,219,16,11,Howland,Warren,OH,Michigan
Nadir Barnwell,ATH,5-11,188,4,0.9172,209,208,8,8,Piscataway,Piscataway,NJ,Rutgers
Anthony Jennings,PRO,6-2,200,4,0.9171,210,,14,18,Marietta,Marietta,GA,LSU
Mitch Trubisky,DUAL,6-3,195,4,0.9171,211,79,6,12,Mentor,Mentor,OH,North Carolina
Torii Hunter Jr.,WR,6-1,172,4,0.9171,212,,29,31,Prosper,Prosper,TX,Notre Dame
Myles Jack,ILB,6-2,218,4,0.9170,213,,10,2,Bellevue,Bellevue,WA,UCLA
Nico Falah,OT,6-5,270,4,0.9167,214,,15,24,St. John Bosco,Bellflower,CA,USC
Billy Price,DT,6-4,300,4,0.9165,215,217,18,13,Fitch,Youngstown,OH,Ohio State
Jayron Kearse,ATH,6-4,185,4,0.9159,216,,9,29,South Fort Myers,Fort Myers,FL,Clemson
Jayme Thompson,S,6-2,190,4,0.9158,217,211,19,14,Central Catholic,Toledo,OH,Ohio State
Jared Goff,PRO,6-4,185,4,0.9154,218,,15,25,Marin Catholic,Greenbrae,CA,California
Isaiah Jones,WR,6-4,195,4,0.9152,219,,30,30,Milton,Milton,FL,Florida State
Ben Gedeon,ILB,6-3,220,4,0.9149,220,199,11,15,Hudson,Hudson,OH,Michigan
Tyler Foreman,S,6-2,195,4,0.9142,221,213,20,26,Crespi,Encino,CA,UCLA
Matt Alviti,DUAL,6-1,180,4,0.9140,222,226,7,8,Maine South,Park Ridge,IL,Northwestern
Jordan Wilkins,APB,6-1,212,4,0.9139,223,167,10,6,St. Benedict at Auburndale,Cordova,TN,Ole Miss
James Clark,WR,5-10,170,4,0.9138,224,174,31,31,New Smyrna Beach,New Smyrna Beach,FL,Ohio State
Jeremy Cutrer,S,6-3,175,4,0.9136,225,195,21,9,Jewel M. Sumner,Kentwood,LA,
Darius Latham,OT,6-5,291,4,0.9130,226,159,16,4,North Central,Indianapolis,IN,Indiana
Jacorey Warrick,WR,5-10.5,170,4,0.9126,227,,32,32,Cy Falls,Houston,TX,Texas
Ra'Shaad Samples,WR,5-11,160,4,0.9124,228,,33,33,Dallas Skyline,Dallas,TX,Oklahoma State
Francis Owusu,WR,6-3,195,4,0.9122,229,,34,27,Oaks Christian,Thousand Oaks,CA,Stanford
Mark Dodson,RB,5-10,185,4,0.9120,230,,17,7,Whitehaven,Memphis,TN,Ole Miss
Kenny Hill,DUAL,6-2,210,4,0.9119,231,,8,34,Southlake Carroll,Southlake,TX,Texas A&M
Reggie Wilkerson,CB,5-11,175,4,0.9115,232,,18,32,North Marion,Citra,FL,Georgia
A.J. Turman,RB,6-0,205,4,0.9114,233,185,18,33,Boone,Orlando,FL,Georgia
Noel Ellis,CB,5-10,170,4,0.9113,234,,19,10,Edna Karr,New Orleans,LA,Texas A&M
Cord Sandberg,DUAL,6-2,200,4,0.9113,235,,9,34,Manatee,Bradenton,FL,Mississippi State
Mike Williams,WR,6-4,210,4,0.9111,236,,35,4,Lake Marion,Santee,SC,Clemson
Shamire DeVine,OT,6-6,340,4,0.9107,237,133,17,19,Tri-Cities,Atlanta,GA,Georgia Tech
Josh Augusta,DT,6-5,295,4,0.9105,238,206,19,9,Peoria,Peoria,IL,Missouri
Standish Dobard,TE,6-4,241,4,0.9105,239,,7,11,Edna Karr,New Orleans,LA,Miami
Jay-nard Bostwick,SDE,6-4,280,4,0.9103,240,,14,35,St. Lucie West Centennial,Port St. Lucie,FL,Florida
Devon Allen,WR,6-1,187,4,0.9101,241,,36,4,Brophy College Preparatory,Phoenix,AZ,Oregon
Taj Williams,WR,6-3.5,166,4,0.9100,242,,37,36,Tallahassee Lincoln,Tallahassee,FL,Indiana
Jermaine Kelly,CB,6-1,180,4,0.9099,243,203,20,28,Salesian,Los Angeles,CA,Washington
Michael Parker,ATH,6-4,195,4,0.9099,244,,10,11,Kettle Run,Nokesville,VA,
Jordan Sherit,WDE,6-4,240,4,0.9095,245,215,8,37,Hillsborough,Tampa,FL,Florida
Jamal Carter,S,6-2,193,4,0.9093,246,224,22,38,Miami Southridge,Miami,FL,Miami
Adam Taylor,RB,6-1,210,4,0.9089,247,,19,35,Katy,Katy,TX,Nebraska
Durham Smythe,TE,6-5,233,4,0.9087,248,188,8,36,Belton,Belton,TX,Notre Dame
Josh Banderas,ILB,6-2,215,4,0.9085,249,,12,1,Southwest,Lincoln,NE,Nebraska
Bucky Hodges,DUAL,6-6,225,4,0.9083,250,114,10,12,Salem,Virginia Beach,VA,Virginia Tech
Doug Randolph,OLB,6-3,236,4,0.9082,251,,16,13,Woodberry Forest,Woodberry Forest,VA,Notre Dame
Jalen Reeves-Maybin,OLB,6-1,200,4,0.9077,252,233,17,8,Northeast,Clarksville,TN,Tennessee
Kerrick Huggins,DT,6-4,282,4,0.9074,253,,20,37,Dallas Skyline,Dallas,TX,Oklahoma
Pierre Cormier,APB,5-10,180,4,0.9073,254,239,11,29,Madison,San Diego,CA,Arizona
Mike Heuerman,TE,6-4,220,4,0.9068,255,216,9,39,Barron Collier,Naples,FL,Notre Dame
Maurice Hurst,DT,6-2,290,4,0.9066,256,190,21,2,Xaverian Brothers,Westwood,MA,Michigan
Melvin Jones,ILB,6-3,245,4,0.9065,257,171,13,12,Washington-Marion,Lake Charles,LA,LSU
