Player,Position,Height,Weight,Stars,Rating,CompositeRank,247Rank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Robert Nkemdiche,SDE,6-4,285,5,1.0000,1,1,1,1,Grayson,Loganville,GA,Ole Miss
Jaylon Smith,OLB,6-3,218,5,0.9987,2,5,1,1,Bishop Luers,Fort Wayne,IN,Notre Dame
Vernon Hargreaves III,CB,5-11,185,5,0.9979,3,4,1,1,Wharton,Tampa,FL,Florida
Laremy Tunsil,OT,6-6,295,5,0.9976,4,3,1,2,Columbia,Lake City,FL,Ole Miss
Su'a Cravens,S,6-1,205,5,0.9962,5,16,1,1,Vista Murrieta,Murrieta,CA,USC
Reuben Foster,ILB,6-1,240,5,0.9960,6,15,1,1,Auburn,Auburn,AL,Alabama
Eddie Vanderdoes,DT,6-2,310,5,0.9959,7,6,1,2,Placer,Auburn,CA,UCLA
Matthew Thomas,OLB,6-3.5,210,5,0.9957,8,14,2,3,Booker T. Washington,Miami,FL,Florida State
Kenny Bigelow Jr.,DT,6-3,297,5,0.9952,9,13,2,1,Eastern Christian,Bear,DE,USC
Montravius Adams,DT,6-4,310,5,0.9947,10,10,3,2,Dooly County,Vienna,GA,Auburn
Max Browne,PRO,6-5,210,5,0.9942,11,30,1,1,Skyline,Sammamish,WA,USC
Derrick Henry,ATH,6-3,240,5,0.9929,12,12,1,4,Yulee,Yulee,FL,Alabama
Christian Hackenberg,PRO,6-4,210,5,0.9927,13,7,2,1,,,,Penn State
Laquon Treadwell,WR,6-3,195,5,0.9925,14,28,1,1,Crete-Monee,Crete,IL,Ole Miss
Jonathan Allen,OLB,6-3,260,5,0.9924,15,11,3,2,Stone Bridge,Ashburn,VA,Alabama
Jalen Ramsey,CB,6-0.5,189,5,0.9923,16,39,2,1,Brentwood Academy,Brentwood,TN,Florida State
Kendall Fuller,CB,6-0,175,5,0.9923,17,31,3,2,Our Lady of Good Counsel,Olney,MD,Virginia Tech
Chris Jones,SDE,6-5,250,5,0.9919,18,2,2,1,Houston,Houston,MS,Mississippi State
O.J. Howard,TE,6-5.5,221,5,0.9916,19,20,1,2,Autauga Academy,Prattville,AL,Alabama
Thomas Tyner,RB,6-0,207,5,0.9907,20,22,1,1,Aloha,Beaverton,OR,Oregon
Kelvin Taylor,RB,5-10,216,5,0.9897,21,19,2,5,Glades Day School,Belle Glade,FL,Florida
Carl Lawson,WDE,6-3,245,5,0.9897,22,24,1,3,Milton,Alpharetta,GA,Auburn
Robert Foster,WR,6-2,185,5,0.9896,23,18,2,1,Central Valley,Monaca,PA,Alabama
Ricky Seals-Jones,ATH,6-5,230,5,0.9880,24,23,2,1,Sealy,Sealy,TX,Texas A&M
