Player,Position,Height,Weight,Stars,Rating,CompositeRank,247Rank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Vince Young,DUAL,6-5,200,5,1.0000,1,,1,1,Houston Madison,Houston,TX,Texas
Lorenzo Booker,APB,5-10,180,5,0.9992,2,,1,1,St. Bonaventure,Ventura,CA,Florida State
Ryan Moore,WR,6-3,185,5,0.9986,3,,1,1,Dr. Phillips,Orlando,FL,Miami
Chris Davis,ATH,5-10,170,5,0.9980,4,,1,2,St. Petersburg,St. Petersburg,FL,Florida State
Ben Olson,PRO,6-4,205,5,0.9980,4,,1,2,Hillcrest Christian School,Thousand Oaks,CA,BYU
Gerald Riggs Jr.,RB,6-0,220,5,0.9970,6,,1,1,Red Bank,Chattanooga,TN,Tennessee
Rodrique Wright,DT,6-5,330,5,0.9970,6,,1,2,Alief Hastings,Houston,TX,Texas
Ciatrick Fason,RB,6-0,210,5,0.9970,6,,1,3,Duncan U. Fletcher,Neptune Beach,FL,Florida
Reggie McNeal,ATH,6-1,210,5,0.9970,6,,2,2,Lufkin,Lufkin,TX,Texas A&M
Haloti Ngata,DT,6-5,310,5,0.9962,10,,2,1,Highland,Salt Lake City,UT,Oregon
Leon Washington,CB,5-8,180,5,0.9946,11,,1,4,Andrew Jackson,Jacksonville,FL,Florida State
Michael Johnson,RB,5-10,180,5,0.9942,12,,3,1,Heritage,Newport News,VA,Virginia
Nathan Rhodes,OT,6-7,305,5,0.9938,13,,1,3,East Bakersfield,Bakersfield,CA,Washington
Brandon Jefferies,OG,6-5,265,5,0.9934,14,,1,1,Crest,Shelby,NC,Tennessee
Pat Watkins,S,6-3,190,5,0.9926,15,,1,5,Tallahassee Lincoln,Tallahassee,FL,Florida State
Mike D'Andrea,ILB,6-3,230,5,0.9926,15,,1,1,Avon Lake,Avon Lake,OH,Ohio State
Ricardo Hurley,ILB,6-1,235,5,0.9924,17,,2,1,Greenwood,Greenwood,SC,South Carolina
DiShon Platt,WR,6-0,170,5,0.9922,18,,2,6,Charlotte,Punta Gorda,FL,Florida State
Justin Blalock,OG,6-4,325,5,0.9922,18,,2,4,Plano East,Plano,TX,Texas
Ahmad Brooks,OLB,6-3,230,5,0.9914,20,,1,2,C. D. Hylton,Woodbridge,VA,Virginia
Derek Morris,OT,6-6,350,5,0.9912,21,,2,2,North Mecklenburg,Huntersville,NC,Ohio State
Marcus Vick,DUAL,6-0,185,5,0.9910,22,,2,3,Warwick,Newport News,VA,Virginia Tech
Jerious Norwood,RB,6-0,200,5,0.9906,23,,4,1,Brandon,Brandon,MS,Mississippi State
Marquis Johnson,WR,6-3,190,5,0.9902,24,,3,1,Centennial,Champaign,IL,Texas
Trent Edwards,PRO,6-4,190,5,0.9894,25,,2,4,Los Gatos,Los Gatos,CA,Stanford
Darren Williams,S,6-3,205,5,0.9892,26,,2,2,Clarksdale,Clarksdale,MS,Mississippi State
Devin Hester,ATH,5-11,180,5,0.9884,27,,3,7,Suncoast,Riviera Beach,FL,Miami
Bryan Pickryl,WDE,6-5,230,5,0.9880,28,,1,1,Jenks,Jenks,OK,Texas
James Banks,DUAL,6-3,195,5,0.9878,29,,3,1,Ben Davis,Indianapolis,IN,Tennessee
Julian Jenkins,WDE,6-5,230,5,0.9859,30,,2,1,Woodward Academy,Atlanta,GA,Stanford
Ben Obomanu,WR,6-2,185,5,0.9855,31,,4,1,Selma,Selma,AL,Auburn
Winston Justice,OT,6-6,295,5,0.9849,32,,3,5,Long Beach Poly,Long Beach,CA,USC
Kedric Golston,DT,6-4,285,5,0.9845,33,,3,2,Sandy Creek,Tyrone,GA,Georgia
Justin Zwick,PRO,6-4,205,5,0.9843,34,,3,2,Massillon Washington,Massillon,OH,Ohio State
Maurice Clarett,RB,6-0,230,5,0.9841,35,,5,3,Harding,Warren,OH,Ohio State
Gabe Watson,DT,6-4,330,5,0.9839,36,,4,1,Southfield,Southfield,MI,Michigan
Zach Latimer,OLB,6-3,215,5,0.9835,37,,2,1,Gateway,Aurora,CO,Oklahoma
